
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek              |      Lower level      |      Upper level      |Type|
                   Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |-----------------------|-----------------------|    |
                    Vac (nm)  |        |           |      |                                          | Conf.          | Term | Conf.          | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                              |        |           |      |                                          |                |      |                |      |    |
                150.737       |  50r,h |           |      |    0.000000000     -     8.22520         | 4d10.5s        | 2S   | 4d9.5s.(3D).5p | 4D*  |    |
                151.563       | 100r,h |           |      |    0.000000000     -     8.18038         | 4d10.5s        | 2S   | 4d9.5s.(3D).5p | 2P*  |    |
                154.858       |  50r,h |           |      |    0.000000000     -     8.00634         | 4d10.5s        | 2S   | 4d9.5s.(3D).5p | 4D*  |    |
                165.187       |    60w |           |      |    0.000000000     -     7.505687        | 4d10.5s        | 2S   | 4d9.5s.(3D).5p | 4P*  |    |
                170.811       |     10 |           |      |                                          |                |      |                |      |    |
                              |        |           |      |                                          |                |      |                |      |    |
                170.926       |     50 |           |      |    0.000000000     -     7.2536439       | 4d10.5s        | 2S   | 4d9.5s.(3D).5p | 4P*  |    |
                176.620       |    10w |           |      |    0.000000000     -     7.0200936       | 4d10.5s        | 2S   | 4d10.8p        | 2P*  |    |
                184.773       |     20 |           |      |    0.000000000     -     6.7101619       | 4d10.5s        | 2S   | 4d10.7p        | 2P*  |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek              |      Lower level      |      Upper level      |Type|
                   Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)             |-----------------------|-----------------------|    |
                    Air (nm)  |        |           |      |                                          | Conf.          | Term | Conf.          | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                              |        |           |      |                                          |                |      |                |      |    |
                206.1162      |    200 | 3.1e+06   |      |    0.000000000     -     6.01333385      | 4d10.5s        | 2S   | 4d10.6p        | 2P*  |    |
                206.9844      |    100 | 1.5e+06   |      |    0.000000000     -     5.9881149       | 4d10.5s        | 2S   | 4d10.6p        | 2P*  |    |
                217.000       |     15 |           |      |                                          |                |      |                |      |    |
                230.956       |    30w |           |      |    3.7495669556    -     9.11625         | 4d9.5s2        | 2D   | 4d9.5s.(1D).5p | 2D*  |    |
                231.260       |    10w |           |      |    4.304015350     -     9.66361         | 4d9.5s2        | 2D   | 4d9.5s.(1D).5p | 2D*  |    |
                              |        |           |      |                                          |                |      |                |      |    |
                237.502       |    50w |           |      |    3.7495669556    -     8.96831         | 4d9.5s2        | 2D   | 4d9.5s.(1D).5p | 2F*  |    |
                257.563       |    50w |           |      |    4.304015350     -     9.11625         | 4d9.5s2        | 2D   | 4d9.5s.(1D).5p | 2D*  |    |
                272.177       |     50 |           |      |    3.7495669556    -     8.303507        | 4d9.5s2        | 2D   | 4d9.5s.(3D).5p | 2D*  |    |
                282.439       |   100w |           |      |    3.7495669556    -     8.138043        | 4d9.5s2        | 2D   | 4d9.5s.(3D).5p | 2F*  |    |
                292.677       |    10w |           |      |                                          |                |      |                |      |    |
