
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           137.322  |   120 |           |      |                     |    |
           137.476  |   120 |           |      |                     |    |
           140.493  |   110 |           |      |                     |    |
           141.390  |   120 |           |      |                     |    |
           141.429  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           142.861  |   120 |           |      |                     |    |
           145.274  |   120 |           |      |                     |    |
           145.641  |   200 |           |      |                     |    |
           147.144  |   100 |           |      |                     |    |
           148.901  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           151.508  |   150 |           |      |                     |    |
           152.423  |   100 |           |      |                     |    |
           152.704  |   120 |           |      |                     |    |
           154.114  |   150 |           |      |                     |    |
           155.089  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           155.304  |   130 |           |      |                     |    |
           158.741  |   130 |           |      |                     |    |
           158.928  |   120 |           |      |                     |    |
           161.379  |   100 |           |      |                     |    |
           161.914  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           163.446  |   100 |           |      |                     |    |
           165.224  |   100 |           |      |                     |    |
           165.360  |   130 |           |      |                     |    |
           165.443  |   300 |           |      |                     |    |
           165.618  |   700 |           |      |                     |    |
                    |       |           |      |                     |    |
           165.710  |   150 |           |      |                     |    |
           166.154  |   100 |           |      |                     |    |
           167.075  |   130 |           |      |                     |    |
           167.614  |   150 |           |      |                     |    |
           168.107  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           169.351  |   500 |           |      |                     |    |
           170.506  |   200 |           |      |                     |    |
           170.886  |   150 |           |      |                     |    |
           171.768  |   130 |           |      |                     |    |
           172.227  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           172.676  |   150 |           |      |                     |    |
           172.814  |   250 |           |      |                     |    |
           174.734  |   200 |           |      |                     |    |
           174.964  |   120 |           |      |                     |    |
           175.089  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           175.103  |   750 |           |      |                     |    |
           176.057  |   100 |           |      |                     |    |
           176.262  |   150 |           |      |                     |    |
           176.870  |   150 |           |      |                     |    |
           177.181  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           178.385  |   100 |           |      |                     |    |
           179.170  |   100 |           |      |                     |    |
           179.269  |   100 |           |      |                     |    |
           179.390  |   150 |           |      |                     |    |
           180.224  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           180.226  |   150 |           |      |                     |    |
           180.277  |   100 |           |      |                     |    |
           180.823  |   300 |           |      |                     |    |
           181.683  |   250 |           |      |                     |    |
           182.245  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           182.883  |   350 |           |      |                     |    |
           183.233  |   250 |           |      |                     |    |
           183.250  |   120 |           |      |                     |    |
           183.431  |   100 |           |      |                     |    |
           183.610  |   250 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.864  |   150 |           |      |                     |    |
           184.014  |   400 |           |      |                     |    |
           184.696  |   100 |           |      |                     |    |
           184.993  |   120 |           |      |                     |    |
           185.633  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           185.891  |   120 |           |      |                     |    |
           186.039  |   100 |           |      |                     |    |
           186.064  |   100 |           |      |                     |    |
           186.712  |   350 |           |      |                     |    |
           186.810  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           187.255  |   100 |           |      |                     |    |
           187.345  |   400 |           |      |                     |    |
           188.036  |   250 |           |      |                     |    |
           188.957  |   300 |           |      |                     |    |
           191.692  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           191.708  |   600 |           |      |                     |    |
           192.530  |   200 |           |      |                     |    |
           194.632  |   150 |           |      |                     |    |
           194.844  |   100 |           |      |                     |    |
           195.762  |   700 |           |      |                     |    |
                    |       |           |      |                     |    |
           195.927  |   120 |           |      |                     |    |
           196.086  |   100 |           |      |                     |    |
           196.689  |   400 |           |      |                     |    |
           197.592  |   600 |           |      |                     |    |
           197.703  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           198.187  |   150 |           |      |                     |    |
           198.702  |   200 |           |      |                     |    |
           199.516  |   130 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           199.959  |   600 |           |      |                     |    |
           200.730  |   300 |           |      |                     |    |
           201.149  |   200 |           |      |                     |    |
           201.365  |   150 |           |      |                     |    |
           204.133  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           205.317  |   150 |           |      |                     |    |
           205.383  |   150 |           |      |                     |    |
           205.699  |   200 |           |      |                     |    |
           208.104  |   200 |           |      |                     |    |
           214.647  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           214.919  |   150 |           |      |                     |    |
           216.189  |   600 |           |      |                     |    |
           216.621  |   150 |           |      |                     |    |
           221.123  |   150 |           |      |                     |    |
           223.840  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           224.651  |   500 |           |      |                     |    |
           228.650  |   100 |           |      |                     |    |
           231.004  |   700 |           |      |                     |    |
           238.685  |   100 |           |      |                     |    |
           239.569  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           246.962  |   100 |           |      |                     |    |
           256.287  |   100 |           |      |                     |    |
