
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                 Observed  |    Rel. |    Aki    | Acc. |              Ei           Ek              |           Lower level           |           Upper level           |Type|
          |                Wavelength |    Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------|---------------------------------|    |
          |                 Vac (nm)  |         |           |      |                                           | Conf.                 | Term    | Conf.                 | Term    |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al IV     |                101.7940   |      30 |           |      |     94.17800        -     106.35799       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
Al IV     |                101.8168   |     100 |           |      |     94.12798        -     106.30524       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
Al V      |                102.052    |      20 | 7.08e+08  | C+   |    107.29206        -     119.4413        | 2s2.2p4.(1D).3p       | 2F*     | 2s2.2p4.(1D).3d       | 2F      |    |
Al IV     |                102.2082   |     200 |           |      |     94.17800        -     106.30860       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
Al IV     |                102.2362   |     100 |           |      |     94.17800        -     106.30524       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al IV     |                102.393    |       5 |           |      |     94.67602        -     106.78446       | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
Al IV     |                102.4248   |     150 |           |      |     94.67602        -     106.78100       | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
Al V      |                102.491    |      50 | 7.79e+08  | B    |    107.34364        -     119.4407        | 2s2.2p4.(1D).3p       | 2F*     | 2s2.2p4.(1D).3d       | 2F      |    |
Al IV     |                102.708    |       5 |           |      |     94.28654        -     106.35799       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
Al IV     |                102.7343   |     500 |           |      |     94.28654        -     106.35494       | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
          |                           |         |           |      |                                           |                       |         |                       |         |    |
Al V      |                102.817    |       5 | 9.41e+07  | C    |    107.29206        -     119.3510        | 2s2.2p4.(1D).3p       | 2F*     | 2s2.2p4.(1D).3d       | 2D      |    |
Al IV     |                103.139    |     100 |           |      |     94.76076        -     106.78168       | 2s2.2p5.(2P*).3d      | 1F*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
Al IV     |                104.0340   |      30 |           |      |     94.43732        -     106.35494       | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
Al IV     |                104.2169   |     800 |           |      |     94.43732        -     106.33414       | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[9/2]  |    |
