
------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level  |       Upper level       |Type|
             Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)          |---------------|-------------------------|    |
              Vac (nm)  |         |           |      |                                    | Conf.  | Term | Conf.            | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                        |         |           |      |                                    |        |      |                  |      |    |
             118.1907   |   36g,a |           |      |    0.0138938    -    10.50408      | 3s2.3p | 2P*  | 3s.3p.(3P*).11p? | 2S?  |    |
             118.201    |   26g,a |           |      |    0.0138938    -    10.5032       | 3s2.3p | 2P*  | 3s.3p.(3P*).11p? | 2D?  |    |
             118.2379   |   57g,a |           |      |    0.000000     -    10.48600      | 3s2.3p | 2P*  | 3s.3p.(3P*).11p? |      |    |
             118.5660   |   81g,a |           |      |    0.0138938    -    10.47087      | 3s2.3p | 2P*  | 3s.3p.(3P*).10p? | 2S?  |    |
             118.579    |   57g,a |           |      |    0.0138938    -    10.4697       | 3s2.3p | 2P*  | 3s.3p.(3P*).10p? | 2D?  |    |
                        |         |           |      |                                    |        |      |                  |      |    |
             118.6346   |   60g,a |           |      |    0.000000     -    10.45093      | 3s2.3p | 2P*  | 3s.3p.(3P*).10p? |      |    |
             119.0939   |   94g,a |           |      |    0.0138938    -    10.42452      | 3s2.3p | 2P*  | 3s.3p.(3P*).9p?  | 2S?  |    |
             119.134    |   75g,a |           |      |    0.0138938    -    10.4210       | 3s2.3p | 2P*  | 3s.3p.(3P*).9p?  | 2D?  |    |
             119.2211   |  130g,a |           |      |    0.000000     -    10.39951      | 3s2.3p | 2P*  | 3s.3p.(1P*).4p?  | 2P?  |    |
             119.2320   |  140g,a |           |      |    0.000000     -    10.39855      | 3s2.3p | 2P*  | 3s.3p.(3P*).9p?  |      |    |
                        |         |           |      |                                    |        |      |                  |      |    |
             119.3807   |   86g,a |           |      |    0.0138938    -    10.39951      | 3s2.3p | 2P*  | 3s.3p.(1P*).4p?  | 2P?  |    |
             119.4955   |   62g,a |           |      |    0.0138938    -    10.38953      | 3s2.3p | 2P*  | 3s.3p.(1P*).4p?  | 2P?  |    |
             119.773    |   36g,a |           |      |    0.000000     -    10.3516       | 3s2.3p | 2P*  | 3s.3p.(1P*).4p?  | 2D?  |    |
             119.8482   |   65g,a |           |      |    0.000000     -    10.3451       | 3s2.3p | 2P*  | 3s.3p.(3P*).8p?  | 2D?  |    |
             119.8686   |  125g,a |           |      |    0.0138938    -    10.35723      | 3s2.3p | 2P*  | 3s.3p.(3P*).8p?  | 2S?  |    |
                        |         |           |      |                                    |        |      |                  |      |    |
             119.934    |   86g,a |           |      |    0.0138938    -    10.3516       | 3s2.3p | 2P*  | 3s.3p.(1P*).4p?  | 2D?  |    |
             119.9959   |  120g,a |           |      |    0.0138938    -    10.3462       | 3s2.3p | 2P*  | 3s.3p.(3P*).8p?  | 2D?  |    |
             120.0095   |   91g,a |           |      |    0.0138938    -    10.3451       | 3s2.3p | 2P*  | 3s.3p.(3P*).8p?  | 2D?  |    |
