
---------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |         Upper level         |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------------|-----------------------------|    |
             Vac (nm)  |       |           |      |                                   | Conf.                 | Term | Conf.                | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |                       |      |                      |      |    |
            116.266    |   10* | 2.09e+08  | A+   |    14.376737    -     25.041231   | 2p6.3d                | 2D   | 2p6.6f               | 2F*  |    |
            116.266    |   10* | 1.39e+07  | A    |    14.376737    -     25.041231   | 2p6.3d                | 2D   | 2p6.6f               | 2F*  |    |
            116.267    |   10* | 1.95e+08  | A+   |    14.377021    -     25.041231   | 2p6.3d                | 2D   | 2p6.6f               | 2F*  |    |
            119.260    |       |           |      |    78.4142      -     88.8102     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3s.3d.(3D) | 4F*  |    |
            127.405    |       |           |      |    79.0338      -     88.7654     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 2p5.(2P*).3s.3d.(3D) | 4P*  |    |
                       |       |           |      |                                   |                       |      |                      |      |    |
            133.605    |       |           |      |    77.522       -     86.8022     | 2p5.(2P*).3s.3p.(3P*) | 4S   | 2p5.(2P*).3p2.(3P)   | 4P*  |    |
            135.2857   |  100* | 4.26e+08  | A+   |    14.376737    -     23.541675   | 2p6.3d                | 2D   | 2p6.5f               | 2F*  |    |
            135.2857   |  100* | 2.84e+07  | A    |    14.376737    -     23.541635   | 2p6.3d                | 2D   | 2p6.5f               | 2F*  |    |
            135.2857   |  100* | 3.98e+08  | A+   |    14.377021    -     23.541635   | 2p6.3d                | 2D   | 2p6.5f               | 2F*  |    |
            137.9670   |   600 | 4.61e+08  | A+   |     6.655835    -     15.642348   | 2p6.3p                | 2P*  | 2p6.4s               | 2S   |    |
                       |       |           |      |                                   |                       |      |                      |      |    |
            138.4140   |   800 | 9.22e+08  | A+   |     6.684806    -     15.642348   | 2p6.3p                | 2P*  | 2p6.4s               | 2S   |    |
            138.694    |       |           |      |    78.509       -     87.4487     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3p2.(3P)   | 4D*  |    |
            138.793    |       |           |      |    78.4142      -     87.3472     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3p2.(3P)   | 4D*  |    |
            140.287    |     * |           |      |    78.509       -     87.3472     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3p2.(3P)   | 4D*  |    |
            140.287    |     * |           |      |    78.6108      -     87.4487     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3p2.(3P)   | 4D*  |    |
                       |       |           |      |                                   |                       |      |                      |      |    |
            147.340    |       |           |      |    79.0338      -     87.4487     | 2p5.(2P*).3s.3p.(3P*) | 4P   | 2p5.(2P*).3p2.(3P)   | 4D*  |    |
            147.810    |       |           |      |    78.4142      -     86.8022     | 2p5.(2P*).3s.3p.(3P*) | 4D   | 2p5.(2P*).3p2.(3P)   | 4P*  |    |
