
-------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level           |           Upper level           |Type|
          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |---------------------------------|---------------------------------|    |
           Vac (nm)  |        |           |      |                                 | Conf.                 | Term    | Conf.                 | Term    |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |           |      |                                 |                       |         |                       |         |    |
           101.7940  |     30 |           |      |    94.17800    -    106.35799   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
           101.8168  |    100 |           |      |    94.12798    -    106.30524   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
           102.2082  |    200 |           |      |    94.17800    -    106.30860   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
           102.2362  |    100 |           |      |    94.17800    -    106.30524   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[3/2]  |    |
           102.393   |      5 |           |      |    94.67602    -    106.78446   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<1/2>).4f | 2[5/2]  |    |
                     |        |           |      |                                 |                       |         |                       |         |    |
           102.4248  |    150 |           |      |    94.67602    -    106.78100   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
           102.708   |      5 |           |      |    94.28654    -    106.35799   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
           102.7343  |    500 |           |      |    94.28654    -    106.35494   | 2s2.2p5.(2P*).3d      | 3P*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
           103.139   |    100 |           |      |    94.76076    -    106.78168   | 2s2.2p5.(2P*).3d      | 1F*     | 2s2.2p5.(2P*<1/2>).4f | 2[7/2]  |    |
           104.0340  |     30 |           |      |    94.43732    -    106.35494   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[5/2]  |    |
                     |        |           |      |                                 |                       |         |                       |         |    |
           104.2169  |    800 |           |      |    94.43732    -    106.33414   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[9/2]  |    |
           104.4064  |    200 |           |      |    94.50974    -    106.38481   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]  |    |
           104.5766  |    200 | 1.12e+08  | B    |    76.68099    -     88.53673   | 2s2.2p5.(2P*).3s      | 3P*     | 2s2.2p5.(2P*).3p      | 1S      |    |
           104.8515  |    700 |           |      |    94.50974    -    106.33453   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[9/2]  |    |
           105.8901  |    500 |           |      |    94.67602    -    106.38481   | 2s2.2p5.(2P*).3d      | 3F*     | 2s2.2p5.(2P*<3/2>).4f | 2[7/2]  |    |
                     |        |           |      |                                 |                       |         |                       |         |    |
