
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |      Rel. |    Aki    | Acc. |             Ei           Ek             |           Lower level           |           Upper level           |Type|
          |               Wavelength |      Int. |    s^-1   |      |            (eV)         (eV)            |---------------------------------|---------------------------------|    |
          |                Vac (nm)  |           |           |      |                                         | Conf.                 | Term    | Conf.                 | Term    |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar VI     |             100.016      |         1 |           |      |      0.273742      -      12.67014      | 3s2.3p                | 2P*     | 3s.3p2                | 4P      |    |
Ar III    |             100.2096     |       150 |           |      |      1.737019      -      14.109466     | 3s2.3p4               | 1D      | 3s.3p5                | 3P*     |    |
Ar IV     |             100.271      |      9bl: |           |      |     23.28687       -      35.65175      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar III    |             100.5270     |         9 |           |      |     17.963507      -      30.2965395    | 3s2.3p3.(4S*).3d      | 5D*     | 3s2.3p3.(2P*).4p      | 1D      |    |
Ar IV     |             100.654      |        10 |           |      |     23.23433       -      35.55219      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar IV     |             101.078      |         8 |           |      |     23.22105       -      35.48731      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar IV     |             101.086      |        13 |           |      |     23.28687       -      35.55219      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar IV     |             101.187      |         9 |           |      |     23.23433       -      35.48731      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar VI     |             101.266      |         6 |           |      |      0.273742      -      12.51715      | 3s2.3p                | 2P*     | 3s.3p2                | 4P      |    |
Ar IV     |             101.291      |        12 |           |      |     23.41125       -      35.65175      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
Ar IV     |             101.353      |         9 |           |      |     23.22105       -      35.45405      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar IV     |             101.462      |         8 |           |      |     23.23433       -      35.45405      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar III    |             101.4780     |         9 |           |      |     17.963507      -      30.18095105   | 3s2.3p3.(4S*).3d      | 5D*     | 3s2.3p3.(2P*).4p      | 3P      |    |
Ar IV     |             101.621      |      12bl |           |      |     23.28687       -      35.48731      | 3s2.3p2.(3P).3d       | 4D      | 3s2.3p2.(3P).4p       | 4D*     |    |
Ar III    |             101.7660     |        12 |           |      |     17.963507      -      30.1463924    | 3s2.3p3.(4S*).3d      | 5D*     | 3s2.3p3.(2P*).4p      | 3P      |    |
          |                          |           |           |      |                                         |                       |         |                       |         |    |
