
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level           |Type|
             Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|---------------------------------|    |
              Vac (nm)  |       |           |      |                                       | Conf.                 | Term    | Conf.                 | Term    |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                       |                       |         |                       |         |    |
              104.8220  | 1000r | 5.1e+08   | C+   |     0.0000000     -     11.82807064   | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* |    |
              106.6660  |  500r | 1.19e+08  | C+   |     0.0000000     -     11.62359221   | 3s2.3p6               | 1S      | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |           Lower level           |           Upper level           |Type|
             Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------|---------------------------------|    |
              Air (nm)  |       |           |      |                                       | Conf.                 | Term    | Conf.                 | Term    |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                       |                       |         |                       |         |    |
              320.037   |     8 |           |      |                                       |                       |         |                       |         |    |
              331.934   |     7 |           |      |                                       |                       |         |                       |         |    |
              337.347   |     7 |           |      |                                       |                       |         |                       |         |    |
              339.373   |     7 |           |      |                                       |                       |         |                       |         |    |
              346.107   |     7 | 6.7e+04   | D    |    11.62359221    -     15.2048082    | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).6p | 2[3/2]  |    |
                        |       |           |      |                                       |                       |         |                       |         |    |
              355.4306  |     7 | 2.7e+05   | D    |    11.54835392    -     15.0356396    | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).6p | 2[3/2]  |    |
              360.6522  |     7 | 7.6e+05   | D    |    11.62359221    -     15.0603894    | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<3/2>).6p | 2[1/2]  |    |
              377.0369  |    20 | 7.0e+04   | D    |    11.72315988    -     15.0106095    | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).6p | 2[1/2]  |    |
              383.4679  |     7 | 7.5e+05   | D    |    11.82807064    -     15.0603894    | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 3s2.3p5.(2P*<3/2>).6p | 2[1/2]  |    |
              394.7505  |     7 | 5.6e+04   | C    |    11.54835392    -     14.68828966   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[3/2]  |    |
                        |       |           |      |                                       |                       |         |                       |         |    |
              394.8979  |    35 | 4.55e+05  | C    |    11.54835392    -     14.68711760   | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 3s2.3p5.(2P*<1/2>).5p | 2[1/2]  |    |
