
----------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |      Rel. |    Aki    | Acc. |            Ei           Ek            |        Lower level         |        Upper level         |Type|
              Wavelength |      Int. |    s^-1   |      |           (eV)         (eV)           |----------------------------|----------------------------|    |
               Vac (nm)  |           |           |      |                                       | Conf.              | Term  | Conf.              | Term  |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                         |           |           |      |                                       |                    |       |                    |       |    |
            126.8483     |         1 |           |      |    16.45737710    -     26.23161985   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<1>).6f | 2[2]* |    |
            128.0225     |         1 |           |      |    16.40650114    -     26.0910921    | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).6f | 2[4]* |    |
            128.2620     |         1 |           |      |    16.42557551    -     26.09211560   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).6f | 2[4]* |    |
            128.4793     |         1 |           |      |    16.44411374    -     26.0942971    | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).6f | 2[3]* |    |
            134.8745     |         1 |           |      |    16.42557551    -     25.61809921   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<0>).5f | 2[3]* |    |
                         |           |           |      |                                       |                    |       |                    |       |    |
            135.1330     |         1 |           |      |    16.44411374    -     25.61906687   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<0>).5f | 2[3]* |    |
            135.4912     |         2 |           |      |    16.40650114    -     25.55720792   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<1>).5f | 2[4]* |    |
            135.7435     |         0 |           |      |    16.42557551    -     25.55922041   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<1>).5f | 2[4]* |    |
            136.0735     |         1 |           |      |    16.44411374    -     25.55566859   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<1>).5f | 2[2]* |    |
            136.3031     |         2 |           |      |    16.45737710    -     25.55357301   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<1>).5f | 2[2]* |    |
                         |           |           |      |                                       |                    |       |                    |       |    |
            137.6107     |       0.5 |           |      |    16.40650114    -     25.41628519   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).5f | 2[3]* |    |
            137.6956     |         1 |           |      |    16.40650114    -     25.41070013   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).5f | 2[4]* |    |
            137.7211     |         4 |           |      |    16.40650114    -     25.40905362   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).5f | 2[4]* |    |
            137.7442     |         0 |           |      |    16.42557551    -     25.42657082   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).5f | 2[2]* |    |
            137.9377     |         1 |           |      |    16.42557551    -     25.41398807   | 3s2.3p4.(3P).3d    | 4D    | 3s2.3p4.(3P<2>).5f | 2[3]* |    |
                         |           |           |      |                                       |                    |       |                    |       |    |
