
------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |       Lower level       |       Upper level       |Type|
              Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |-------------------------|-------------------------|    |
               Vac (nm)  |       |           |      |                                       | Conf.            | Term | Conf.            | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------------------
                         |       |           |      |                                       |                  |      |                  |      |    |
             100.2096    |   150 |           |      |     1.737019      -     14.109466     | 3s2.3p4          | 1D   | 3s.3p5           | 3P*  |    |
             100.5270    |     9 |           |      |    17.963507      -     30.2965395    | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 1D   |    |
             101.4780    |     9 |           |      |    17.963507      -     30.18095105   | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 3P   |    |
             101.7660    |    12 |           |      |    17.963507      -     30.1463924    | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 3P   |    |
             104.8200    |    12 |           |      |    17.964154      -     29.79245576   | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 3D   |    |
                         |       |           |      |                                       |                  |      |                  |      |    |
             104.8380    |    15 |           |      |    17.966707      -     29.79245576   | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             104.9690    |     6 |           |      |    17.963507      -     29.7750507    | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             115.7470    |     1 |           |      |    19.4692145     -     30.18095105   | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3P   |    |
             115.9770    |     6 |           |      |    19.4559166     -     30.1463924    | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3P   |    |
             119.9370    |    12 |           |      |    19.4550439     -     29.79245576   | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3D   |    |
                         |       |           |      |                                       |                  |      |                  |      |    |
             119.9950    |    12 |           |      |    19.4559166     -     29.7882504    | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             120.1490    |    6* |           |      |    19.4559166     -     29.7750507    | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             120.1490    |    6* |           |      |    19.4692145     -     29.7882504    | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             120.3030    |     9 |           |      |    19.4692145     -     29.7750507    | 3s2.3p3.(4S*).3d | 3D*  | 3s2.3p3.(2P*).4p | 3D   |    |
             124.5760    |     9 |           |      |    17.963507      -     27.91585830   | 3s2.3p3.(4S*).3d | 5D*  | 3s2.3p3.(2D*).4p | 3D   |    |
                         |       |           |      |                                       |                  |      |                  |      |    |
             125.0630    |    15 |           |      |    20.066833      -     29.9802650    | 3s2.3p3.(2D*).3d | 1S*  | 3s2.3p3.(2P*).4p | 1P   |    |
             125.56374   |       |           |      |    17.856499      -     27.7306964    | 3s.3p5           | 1P*  | 3s2.3p3.(2D*).4p | 1P   |    |
