
----------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |  Upper level   |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|----------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.   | Term | Conf.   | Term |    |
----------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |         |      |         |      |    |
            103.92   |       |           |      |    107.2808     -     119.2098    | 2p6.5d  | 2D   | 2p6.6f  | 2F*  |    |
            115.47   |     * |           |      |    108.5294     -     119.2682    | 2p6.5f  | 2F*  | 2p6.6g  | 2G   |    |
            115.47   |     * |           |      |    108.5270     -     119.2655    | 2p6.5f  | 2F*  | 2p6.6g  | 2G   |    |
            116.39   |     * |           |      |    108.6125     -     119.2650    | 2p6.5g  | 2G   | 2p6.6h  | 2H*  |    |
            116.39   |     * |           |      |    108.6108     -     119.2632    | 2p6.5g  | 2G   | 2p6.6h  | 2H*  |    |
                     |       |           |      |                                   |         |      |         |      |    |
            117.14   |     * |           |      |    119.2632     -     129.848     | 2p6.6h  | 2H*  | 2p6.8i  | 2I   |    |
            117.14   |     * |           |      |    119.2650     -     129.849     | 2p6.6h  | 2H*  | 2p6.8i  | 2I   |    |
            144.4    |       | 1.5e+09   | C    |     77.8920     -      86.4829    | 2p6.4p  | 2P*  | 2p6.4d  | 2D   |    |
            146.3    |       | 1.7e+09   | C    |     78.0162     -      86.4940    | 2p6.4p  | 2P*  | 2p6.4d  | 2D   |    |
            192.94   |     * |           |      |    119.2655     -     125.6927    | 2p6.6g  | 2G   | 2p6.7h  | 2H*  |    |
                     |       |           |      |                                   |         |      |         |      |    |
            192.94   |     * |           |      |    119.2682     -     125.6927    | 2p6.6g  | 2G   | 2p6.7h  | 2H*  |    |
----------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |  Upper level   |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|----------------|    |
           Air (nm)  |       |           |      |                                   | Conf.   | Term | Conf.   | Term |    |
----------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |         |      |         |      |    |
            227.03   |       |           |      |    131.84635    -     137.3057    | 2p6.9p  | 2P*  | 2p6.12d | 2D   |    |
            251.55   |       |           |      |    129.8258     -     134.7535    | 2p6.8f  | 2F*  | 2p6.10g | 2G   |    |
            263.15   |     * |           |      |    132.7102     -     137.4204    | 2p6.9g  | 2G   | 2p6.12h | 2H*  |    |
            263.15   |     * |           |      |    132.7102     -     137.4204    | 2p6.9g  | 2G   | 2p6.12h | 2H*  |    |
            267.56   |       |           |      |    125.1933     -     129.8258    | 2p6.7d  | 2D   | 2p6.8f  | 2F*  |    |
                     |       |           |      |                                   |         |      |         |      |    |
            268.97   |     * |           |      |    132.6974     -     137.3057    | 2p6.9f  | 2F*  | 2p6.12d | 2D   |    |
            268.97   |     * |           |      |    129.51948    -     134.1275    | 2p6.8d  | 2D   | 2p6.10p | 2P*  |    |
            269.22   |       |           |      |    129.5170     -     134.1213    | 2p6.8d  | 2D   | 2p6.10p | 2P*  |    |
            300.66   |       |           |      |    123.7939     -     127.9165    | 2p6.7p  | 2P*  | 2p6.8s  | 2S   |    |
            302.81   |       |           |      |    103.1872     -     107.2803    | 2p6.5p  | 2P*  | 2p6.5d  | 2D   |    |
                     |       |           |      |                                   |         |      |         |      |    |
            307.32   |       |           |      |    103.2477     -     107.2808    | 2p6.5p  | 2P*  | 2p6.5d  | 2D   |    |
            315.41   |       |           |      |    127.9165     -     131.84635   | 2p6.8s  | 2S   | 2p6.9p  | 2P*  |    |
            329.77   |       |           |      |    134.1213     -     137.8802    | 2p6.10p | 2P*  | 2p6.13s | 2S   |    |
            330.27   |       |           |      |    134.1275     -     137.8802    | 2p6.10p | 2P*  | 2p6.13s | 2S   |    |
            334.55   |       |           |      |    131.8367     -     135.5413    | 2p6.9p  | 2P*  | 2p6.11s | 2S   |    |
                     |       |           |      |                                   |         |      |         |      |    |
            335.48   |       |           |      |    131.84635    -     135.5413    | 2p6.9p  | 2P*  | 2p6.11s | 2S   |    |
            348.76   |       |           |      |    132.7102     -     136.2638    | 2p6.9g  | 2G   | 2p6.11f | 2F*  |    |
            429.76   |       |           |      |    129.8258     -     132.7102    | 2p6.8f  | 2F*  | 2p6.9g  | 2G   |    |
            450.47   |       |           |      |    131.3756     -     134.1275    | 2p6.9s  | 2S   | 2p6.10p | 2P*  |    |
            463.08   |       |           |      |    134.7340     -     137.4106    | 2p6.10f | 2F*  | 2p6.12g | 2G   |    |
                     |       |           |      |                                   |         |      |         |      |    |
            464.80   |     * |           |      |    134.7535     -     137.4204    | 2p6.10g | 2G   | 2p6.12h | 2H*  |    |
            464.80   |     * |           |      |    134.7535     -     137.4204    | 2p6.10g | 2G   | 2p6.12h | 2H*  |    |
            532.690  |       |           |      |    129.51948    -     131.84635   | 2p6.8d  | 2D   | 2p6.9p  | 2P*  |    |
            534.20   |       |           |      |    129.5170     -     131.8367    | 2p6.8d  | 2D   | 2p6.9p  | 2P*  |    |
            602.98   |       |           |      |    132.6974     -     134.7535    | 2p6.9f  | 2F*  | 2p6.10g | 2G   |    |
