
----------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
           Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------
                     |       |           |      |                     |    |
           102.196   |   340 |           |      |                     |    |
           108.235   |   340 |           |      |                     |    |
           113.940   |   500 |           |      |                     |    |
           114.931   |   615 |           |      |                     |    |
           118.151   |   555 |           |      |                     |    |
                     |       |           |      |                     |    |
           118.987   |   555 |           |      |                     |    |
           119.638   |   615 |           |      |                     |    |
           119.656   |   615 |           |      |                     |    |
           120.744   |   340 |           |      |                     |    |
           121.117   |   800 |           |      |                     |    |
                     |       |           |      |                     |    |
           121.810   |   800 |           |      |                     |    |
           122.315   |   340 |           |      |                     |    |
           124.131   |   760 |           |      |                     |    |
           124.308   |   965 |           |      |                     |    |
           124.567   |   870 |           |      |                     |    |
                     |       |           |      |                     |    |
           125.858   |   800 |           |      |                     |    |
           126.377   |   965 |           |      |                     |    |
           126.634   |   800 |           |      |                     |    |
           126.759   |   800 |           |      |                     |    |
           128.099   |   715 |           |      |                     |    |
                     |       |           |      |                     |    |
           128.754   |   715 |           |      |                     |    |
           130.570   |   715 |           |      |                     |    |
           130.774   |   340 |           |      |                     |    |
           133.315   |   760 |           |      |                     |    |
           134.155   |   965 |           |      |                     |    |
                     |       |           |      |                     |    |
           135.593   |   760 |           |      |                     |    |
           136.977   |   965 |           |      |                     |    |
           137.365   |   800 |           |      |                     |    |
           137.507   |  1000 |           |      |                     |    |
           137.578   |   760 |           |      |                     |    |
                     |       |           |      |                     |    |
           139.464   |   800 |           |      |                     |    |
           140.031   |   800 |           |      |                     |    |
           144.859   |   500 |           |      |                     |    |
           155.888   |   500 |           |      |                     |    |
           157.099   |   500 |           |      |                     |    |
                     |       |           |      |                     |    |
           166.055   |   500 |           |      |                     |    |
           186.034   |   340 |           |      |                     |    |
           191.294   |   500 |           |      |                     |    |
----------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
           Air (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------
                     |       |           |      |                     |    |
           260.200   |   340 |           |      |                     |    |
           283.0359  |   300 |           |      |                     |    |
           283.1164  |   300 |           |      |                     |    |
           288.4406  |   300 |           |      |                     |    |
           295.9572  |   615 |           |      |                     |    |
                     |       |           |      |                     |    |
           300.3819  |   300 |           |      |                     |    |
           311.6516  |   300 |           |      |                     |    |
           384.260   |   340 |           |      |                     |    |
           419.0082  |   715 |           |      |                     |    |
           419.740   |   615 |           |      |                     |    |
                     |       |           |      |                     |    |
           424.2982  |   615 |           |      |                     |    |
           431.5657  |   500 |           |      |                     |    |
           432.3867  |   500 |           |      |                     |    |
           433.664   |   500 |           |      |                     |    |
           435.2145  |   500 |           |      |                     |    |
                     |       |           |      |                     |    |
           435.2864  |   425 |           |      |                     |    |
           437.117   |   375 |           |      |                     |    |
           442.7106  |   615 |           |      |                     |    |
           443.1562  |   615 |           |      |                     |    |
           445.8469  |   715 |           |      |                     |    |
                     |       |           |      |                     |    |
           446.1075  |   340 |           |      |                     |    |
           446.6348  |   715 |           |      |                     |    |
           447.446   |   500 |           |      |                     |    |
           449.4230  |   800 |           |      |                     |    |
           450.7659  |   850 |           |      |                     |    |
                     |       |           |      |                     |    |
           453.974   |   615 |           |      |                     |    |
           454.3483  |   715 |           |      |                     |    |
           460.2427  |   615 |           |      |                     |    |
           462.9787  |   340 |           |      |                     |    |
           470.7586  |   340 |           |      |                     |    |
                     |       |           |      |                     |    |
           473.067   |   340 |           |      |                     |    |
           488.8557  |   340 |           |      |                     |    |
           510.558   |   340 |           |      |                     |    |
           510.755   |   500 |           |      |                     |    |
           523.138   |   425 |           |      |                     |    |
                     |       |           |      |                     |    |
           533.123   |   500 |           |      |                     |    |
           549.7727  |   340 |           |      |                     |    |
           555.809   |   425 |           |      |                     |    |
           565.132   |   425 |           |      |                     |    |
           611.007   |   425 |           |      |                     |    |
                     |       |           |      |                     |    |
           617.027   |   500 |           |      |                     |    |
           651.174   |   300 |           |      |                     |    |
           709.227   |   300 |           |      |                     |    |
           710.272   |   300 |           |      |                     |    |
           799.053   |   340 |           |      |                     |    |
                     |       |           |      |                     |    |
           817.451   |   300 |           |      |                     |    |
