
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level      |              Upper level              |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |----------------------|---------------------------------------|    |
          |            Vac (nm)  |       |           |      |                                    | Conf.   | Term       | Conf.                    | Term       |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             104.063  |   100 |           |      |                                    |         |            |                          |            |    |
Au III    |             104.449  |    80 |           |      |                                    |         |            |                          |            |    |
Au III    |             104.681  |    80 |           |      |                                    |         |            |                          |            |    |
Au II     |             106.267  |       |           |      |                                    |         |            |                          |            |    |
Au II     |             106.696  |     8 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             108.500  |       |           |      |                                    |         |            |                          |            |    |
Au II     |             109.078  |     8 |           |      |                                    |         |            |                          |            |    |
Au II     |             109.492  |     5 |           |      |                                    |         |            |                          |            |    |
Au II     |             110.331  |    20 |           |      |                                    |         |            |                          |            |    |
Au II     |             116.676  |     3 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au II     |             121.086  |     5 |           |      |                                    |         |            |                          |            |    |
Au II     |             122.457  |    20 |           |      |    0.00000      -     10.1245279   | 5d10    | 1S         | 5d9.6p                   | (5/2,3/2)* |    |
Au III    |             123.996  |  100w |           |      |                                    |         |            |                          |            |    |
Au III    |             127.851  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             130.534  |   40w |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             131.047  |    25 |           |      |                                    |         |            |                          |            |    |
Au III    |             131.484  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             132.837  |  100w |           |      |                                    |         |            |                          |            |    |
Au II     |             133.626  |     3 |           |      |                                    |         |            |                          |            |    |
Au III    |             133.672  |   200 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au I      |             133.837  |   10w |           |      |                                    |         |            |                          |            |    |
Au III    |             134.168  |   180 |           |      |                                    |         |            |                          |            |    |
Au I      |             134.280  |   10w |           |      |                                    |         |            |                          |            |    |
Au III    |             134.889  |   100 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.009  |    20 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             135.032  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.084  |    20 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.174  |    22 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.282  |    25 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.414  |    25 |           |      |                                    |         |            |                          |            |    |
          |                      |       |           |      |                                    |         |            |                          |            |    |
Au III    |             135.561  |   150 |           |      |                                    |         |            |                          |            |    |
Au I      |             135.579  |    30 |           |      |                                    |         |            |                          |            |    |
Au III    |             135.613  |   150 |           |      |                                    |         |            |                          |            |    |
