
---------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |           Upper level           |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|---------------------------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.   | Term | Conf.                    | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |         |      |                          |      |    |
            130.534  |   40w |           |      |                                   |         |      |                          |      |    |
            131.047  |    25 |           |      |                                   |         |      |                          |      |    |
            132.837  |  100w |           |      |                                   |         |      |                          |      |    |
            133.837  |   10w |           |      |                                   |         |      |                          |      |    |
            134.280  |   10w |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            135.009  |    20 |           |      |                                   |         |      |                          |      |    |
            135.084  |    20 |           |      |                                   |         |      |                          |      |    |
            135.174  |    22 |           |      |                                   |         |      |                          |      |    |
            135.282  |    25 |           |      |                                   |         |      |                          |      |    |
            135.414  |    25 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            135.579  |    30 |           |      |                                   |         |      |                          |      |    |
            135.786  |    35 |           |      |                                   |         |      |                          |      |    |
            136.051  |    40 |           |      |                                   |         |      |                          |      |    |
            136.247  |    20 |           |      |                                   |         |      |                          |      |    |
            136.398  |    50 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            136.415  |    25 |           |      |                                   |         |      |                          |      |    |
            136.862  |    60 |           |      |                                   |         |      |                          |      |    |
            136.898  |    35 |           |      |                                   |         |      |                          |      |    |
            137.482  |    70 |           |      |                                   |         |      |                          |      |    |
            137.576  |    50 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            137.887  |    30 |           |      |                                   |         |      |                          |      |    |
            138.275  |    80 |           |      |                                   |         |      |                          |      |    |
            138.533  |    50 |           |      |                                   |         |      |                          |      |    |
            138.914  |    20 |           |      |                                   |         |      |                          |      |    |
            139.227  |    60 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            140.212  |    50 |           |      |                                   |         |      |                          |      |    |
            140.738  |    70 |           |      |                                   |         |      |                          |      |    |
            140.845  |   100 |           |      |                                   |         |      |                          |      |    |
            142.919  |    80 |           |      |                                   |         |      |                          |      |    |
            143.579  |    50 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            148.176  |   100 |           |      |                                   |         |      |                          |      |    |
            153.282  |    20 |           |      |                                   |         |      |                          |      |    |
            153.286  |    20 |           |      |                                   |         |      |                          |      |    |
            158.716  |   200 |           |      |                                   |         |      |                          |      |    |
            159.824  |    70 |           |      |                                   |         |      |                          |      |    |
                     |       |           |      |                                   |         |      |                          |      |    |
            162.434  |   100 |           |      |                                   |         |      |                          |      |    |
            163.990  |    50 |           |      |                                   |         |      |                          |      |    |
            164.667  |   150 |           |      |    0.000000     -     7.529373    | 5d10.6s | 2S   | 5d10.7p                  | 2P*  |    |
            166.576  |   100 |           |      |                                   |         |      |                          |      |    |
