
----------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level     |     Upper level     |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |---------------------|---------------------|    |
            Vac (nm)  |       |           |      |                                    | Conf.  | Term       | Conf.  | Term       |    |
----------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                    |        |            |        |            |    |
             106.267  |       |           |      |                                    |        |            |        |            |    |
             106.696  |     8 |           |      |                                    |        |            |        |            |    |
             108.500  |       |           |      |                                    |        |            |        |            |    |
             109.078  |     8 |           |      |                                    |        |            |        |            |    |
             109.492  |     5 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             110.331  |    20 |           |      |                                    |        |            |        |            |    |
             116.676  |     3 |           |      |                                    |        |            |        |            |    |
             121.086  |     5 |           |      |                                    |        |            |        |            |    |
             122.457  |    20 |           |      |    0.00000      -     10.1245279   | 5d10   | 1S         | 5d9.6p | (5/2,3/2)* |    |
             133.626  |     3 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             136.233  |     6 |           |      |    0.00000      -      9.1009157   | 5d10   | 1S         | 5d9.6p | (3/2,1/2)* |    |
             136.315  |     8 |           |      |                                    |        |            |        |            |    |
             136.474  |    10 |           |      |                                    |        |            |        |            |    |
             138.053  |     8 |           |      |                                    |        |            |        |            |    |
             139.380  |     6 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             140.512  |       |           |      |                                    |        |            |        |            |    |
             141.069  |       |           |      |                                    |        |            |        |            |    |
             141.522  |       |           |      |                                    |        |            |        |            |    |
             143.661  |    20 |           |      |                                    |        |            |        |            |    |
             146.885  |    10 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             146.917  |    10 |           |      |                                    |        |            |        |            |    |
             146.928  |    10 |           |      |                                    |        |            |        |            |    |
             148.655  |    25 |           |      |                                    |        |            |        |            |    |
             156.204  |    10 |           |      |                                    |        |            |        |            |    |
             159.341  |    12 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             161.111  |    12 |           |      |                                    |        |            |        |            |    |
             161.665  |       |           |      |                                    |        |            |        |            |    |
             162.283  |     2 |           |      |                                    |        |            |        |            |    |
             163.253  |     2 |           |      |                                    |        |            |        |            |    |
             165.699  |    10 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             167.359  |    25 |           |      |                                    |        |            |        |            |    |
             169.438  |     7 |           |      |                                    |        |            |        |            |    |
             169.865  |     2 |           |      |                                    |        |            |        |            |    |
             170.069  |    30 |           |      |                                    |        |            |        |            |    |
             172.004  |    10 |           |      |                                    |        |            |        |            |    |
                      |       |           |      |                                    |        |            |        |            |    |
             172.575  |    25 |           |      |                                    |        |            |        |            |    |
             174.052  |    45 |           |      |                                    |        |            |        |            |    |
             174.980  |    10 |           |      |                                    |        |            |        |            |    |
             175.615  |    35 |           |      |                                    |        |            |        |            |    |
             178.322  |    60 |           |      |                                    |        |            |        |            |    |
