
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           104.063  |   100 |           |      |                     |    |
           104.449  |    80 |           |      |                     |    |
           104.681  |    80 |           |      |                     |    |
           123.996  |  100w |           |      |                     |    |
           127.851  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           131.484  |   100 |           |      |                     |    |
           133.672  |   200 |           |      |                     |    |
           134.168  |   180 |           |      |                     |    |
           134.889  |   100 |           |      |                     |    |
           135.032  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           135.561  |   150 |           |      |                     |    |
           135.613  |   150 |           |      |                     |    |
           136.206  |    80 |           |      |                     |    |
           136.540  |   500 |           |      |                     |    |
           136.717  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.773  |   180 |           |      |                     |    |
           137.869  |   150 |           |      |                     |    |
           137.998  |   150 |           |      |                     |    |
           138.053  |   125 |           |      |                     |    |
           138.136  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           138.579  |   300 |           |      |                     |    |
           138.941  |   100 |           |      |                     |    |
           139.146  |   180 |           |      |                     |    |
           139.600  |   180 |           |      |                     |    |
           140.291  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           140.950  |   225 |           |      |                     |    |
           141.380  |   250 |           |      |                     |    |
           141.427  |   100 |           |      |                     |    |
           141.554  |    80 |           |      |                     |    |
           141.709  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           141.739  |   125 |           |      |                     |    |
           142.742  |   150 |           |      |                     |    |
           142.893  |   300 |           |      |                     |    |
           143.006  |   250 |           |      |                     |    |
           143.337  |   275 |           |      |                     |    |
                    |       |           |      |                     |    |
           143.581  |   250 |           |      |                     |    |
           143.612  |    80 |           |      |                     |    |
           143.912  |   300 |           |      |                     |    |
           144.121  |   200 |           |      |                     |    |
           144.637  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           144.669  |    80 |           |      |                     |    |
           144.842  |   250 |           |      |                     |    |
           145.495  |   250 |           |      |                     |    |
           146.472  |   100 |           |      |                     |    |
           147.128  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           147.332  |    80 |           |      |                     |    |
           147.473  |   100 |           |      |                     |    |
           148.110  |   150 |           |      |                     |    |
           148.715  |   300 |           |      |                     |    |
           148.791  |   250 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.947  |   200 |           |      |                     |    |
           150.037  |   250 |           |      |                     |    |
           150.247  |   200 |           |      |                     |    |
           150.374  |   200 |           |      |                     |    |
           154.026  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           154.200  |   100 |           |      |                     |    |
           154.225  |    80 |           |      |                     |    |
           154.850  |   100 |           |      |                     |    |
           155.461  |    80 |           |      |                     |    |
           156.233  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           156.241  |    80 |           |      |                     |    |
           156.754  |   200 |           |      |                     |    |
           157.194  |    80 |           |      |                     |    |
           157.485  |   200 |           |      |                     |    |
           157.944  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           158.410  |   150 |           |      |                     |    |
           158.956  |   200 |           |      |                     |    |
           158.968  |    80 |           |      |                     |    |
           159.341  |   150 |           |      |                     |    |
           160.051  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           161.716  |   250 |           |      |                     |    |
           161.778  |   100 |           |      |                     |    |
           162.193  |   500 |           |      |                     |    |
           162.913  | 300bl |           |      |                     |    |
           163.888  |   250 |           |      |                     |    |
                    |       |           |      |                     |    |
           164.417  |   100 |           |      |                     |    |
           165.274  |   250 |           |      |                     |    |
           166.477  |   250 |           |      |                     |    |
           166.811  |   100 |           |      |                     |    |
           167.393  |   125 |           |      |                     |    |
                    |       |           |      |                     |    |
           169.394  |  1000 |           |      |                     |    |
           169.709  |   150 |           |      |                     |    |
           169.898  |   200 |           |      |                     |    |
           170.000  |   200 |           |      |                     |    |
           170.225  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           170.753  |   100 |           |      |                     |    |
           171.016  |   250 |           |      |                     |    |
           171.569  |   200 |           |      |                     |    |
           171.671  |   100 |           |      |                     |    |
           171.783  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           172.731  |   500 |           |      |                     |    |
           173.317  | 100bl |           |      |                     |    |
           173.848  |   300 |           |      |                     |    |
           174.439  |   150 |           |      |                     |    |
           174.610  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           175.692  |   500 |           |      |                     |    |
           176.195  |   500 |           |      |                     |    |
           176.742  |   300 |           |      |                     |    |
           177.442  |   100 |           |      |                     |    |
           177.517  |   800 |           |      |                     |    |
                    |       |           |      |                     |    |
           177.640  |   200 |           |      |                     |    |
           178.057  |   100 |           |      |                     |    |
           178.611  |   300 |           |      |                     |    |
           179.265  |   150 |           |      |                     |    |
           179.376  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           180.198  |   200 |           |      |                     |    |
           180.524  |   400 |           |      |                     |    |
           180.981  |   100 |           |      |                     |    |
           182.117  |   400 |           |      |                     |    |
           184.489  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           184.883  |   150 |           |      |                     |    |
           185.015  |    80 |           |      |                     |    |
           186.180  |   500 |           |      |                     |    |
           187.192  |   150 |           |      |                     |    |
           191.828  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           193.204  |   100 |           |      |                     |    |
           193.542  |   100 |           |      |                     |    |
           194.879  |   200 |           |      |                     |    |
           195.847  |   100 |           |      |                     |    |
           198.963  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           199.685  |   150 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           208.309  |   300 |           |      |                     |    |
           208.545  |    80 |           |      |                     |    |
           215.908  |   100 |           |      |                     |    |
           216.733  |    80 |           |      |                     |    |
           217.220  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           218.411  |   100 |           |      |                     |    |
           218.897  |   500 |           |      |                     |    |
           232.227  |   300 |           |      |                     |    |
           238.240  |   100 |           |      |                     |    |
           240.271  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           240.512  |   150 |           |      |                     |    |
           322.799  |   100 |           |      |                     |    |
           330.986  |   100 |           |      |                     |    |
