
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                     Observed  |   Rel. |     Aki    | Acc. |                 Ei           Ek                 |      Lower level       |      Upper level       |Type|
          |                    Wavelength |   Int. |     s^-1   |      |                (eV)         (eV)                |------------------------|------------------------|    |
          |                     Vac (nm)  |        |            |      |                                                 | Conf.          | Term  | Conf.          | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                               |        |            |      |                                                 |                |       |                |       |    |
B I       |                 101.0902      |      a |            |      |      0.0000000         -      12.26471          | 2s2.2p         | 2P*   | 2s.2p.(3P*).5p | 2P    |    |
B I       |                 101.1058      |      a |            |      |      0.0018953         -      12.26471          | 2s2.2p         | 2P*   | 2s.2p.(3P*).5p | 2P    |    |
B IV      |                 102.510       |   70d* | 6.5584e+08 | AAA  |    233.4300            -     245.52443          | 1s.3s          | 3S    | 1s.4p          | 3P*   |    |
B IV      |                 102.510       |   70d* | 6.5594e+08 | AAA  |    233.4300            -     245.52443          | 1s.3s          | 3S    | 1s.4p          | 3P*   |    |
B IV      |                 102.510       |   70d* | 6.5600e+08 | AAA  |    233.4300            -     245.52443          | 1s.3s          | 3S    | 1s.4p          | 3P*   |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B III     |                 102.56        |    35* |            |      |     23.922903          -     [36.016218]        | 1s2.3p         | 2P*   | 1s2.8d         | 2D    |    |
B III     |                 102.56        |    35* |            |      |     23.924144          -     [36.016218]        | 1s2.3p         | 2P*   | 1s2.8d         | 2D    |    |
B I       |                 104.7647      |      a | 3.5e+06    | D    |      0.0000000         -      11.83448          | 2s2.2p         | 2P*   | 2s.2p.(3P*).4p | 2P    |    |
B I       |                 104.7695      |      a | 1.4e+07    | D    |      0.0000000         -      11.83397          | 2s2.2p         | 2P*   | 2s.2p.(3P*).4p | 2P    |    |
B I       |                 104.7825      |      a | 1.8e+07    | D    |      0.0018953         -      11.83448          | 2s2.2p         | 2P*   | 2s.2p.(3P*).4p | 2P    |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B I       |                 104.7867      |      a | 7.0e+06    | D    |      0.0018953         -      11.83397          | 2s2.2p         | 2P*   | 2s.2p.(3P*).4p | 2P    |    |
B II      |                 104.8680      |      3 | 1.40e+09   | B    |     12.6913654         -      24.514172         | 1s2.2p2        | 1D    | 1s2.2p.3d      | 1D*   |    |
B V       |                 104.98        |   160* | 2.7897e+08 | AA   |   (318.96262884)       -    (330.777296478)     | 4s             | 2S    | 6p             | 2P*   |    |
B V       |                 104.98        |   160* | 7.5144e+08 | AA   |   (318.96596024)       -    (330.777644332)     | 4d             | 2D    | 6f             | 2F*   |    |
B V       |                 104.98        |   160* | 5.3937e+08 | AA   |   (318.965966201)      -    (330.777644964)     | 4p             | 2P*   | 6d             | 2D    |    |
          |                               |        |            |      |                                                 |                |       |                |       |    |
B V       |                 104.98        |   160* | 8.2791e+08 | AA   |   (318.967140319)      -    (330.777819114)     | 4f             | 2F*   | 6g             | 2G    |    |
B V       |                 104.98        |   160* | 8.0491e+08 | AA   |   (318.96714245)       -    (330.777819447)     | 4d             | 2D    | 6f             | 2F*   |    |
