
----------------------------------------------------------------------------------------------------------------------------------------------
                 Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |  Lower level  |      Upper level      |Type|
                Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |---------------|-----------------------|    |
                 Vac (nm)  |       |           |      |                                         | Conf.  | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------
                           |       |           |      |                                         |        |      |                |      |    |
               101.0902    |     a |           |      |    0.0000000       -    12.26471        | 2s2.2p | 2P*  | 2s.2p.(3P*).5p | 2P   |    |
               101.1058    |     a |           |      |    0.0018953       -    12.26471        | 2s2.2p | 2P*  | 2s.2p.(3P*).5p | 2P   |    |
               104.7647    |     a | 3.5e+06   | D    |    0.0000000       -    11.83448        | 2s2.2p | 2P*  | 2s.2p.(3P*).4p | 2P   |    |
               104.7695    |     a | 1.4e+07   | D    |    0.0000000       -    11.83397        | 2s2.2p | 2P*  | 2s.2p.(3P*).4p | 2P   |    |
               104.7825    |     a | 1.8e+07   | D    |    0.0018953       -    11.83448        | 2s2.2p | 2P*  | 2s.2p.(3P*).4p | 2P   |    |
                           |       |           |      |                                         |        |      |                |      |    |
               104.7867    |     a | 7.0e+06   | D    |    0.0018953       -    11.83397        | 2s2.2p | 2P*  | 2s.2p.(3P*).4p | 2P   |    |
               112.9701    |     a |           |      |    0.0000000       -    10.97503        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2S   |    |
               112.9881    |     a |           |      |    0.0018953       -    10.97503        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2S   |    |
               114.2269    |     a |           |      |    0.0018953       -    10.85609        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2D   |    |
               114.2304    |     a |           |      |    0.0018953       -    10.85577        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2D   |    |
                           |       |           |      |                                         |        |      |                |      |    |
               115.1207    |     a | 4.88e+07  | C    |    0.0000000       -    10.76987        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2P   |    |
               115.1281    |     a | 1.95e+08  | C    |    0.0000000       -    10.76922        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2P   |    |
               115.1422    |     a | 2.4e+08   | C    |    0.0018953       -    10.76987        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2P   |    |
               115.1489    |     a | 9.75e+07  | C    |    0.0018953       -    10.76922        | 2s2.2p | 2P*  | 2s.2p.(3P*).3p | 2P   |    |
               137.8654    |     2 | 3.42e+08  | C+   |    0.0000000       -     8.993138       | 2s2.2p | 2P*  | 2s.2p2         | 2P   |    |
                           |       |           |      |                                         |        |      |                |      |    |
               137.8875    |     3 | 1.37e+09  | C+   |    0.0000000       -     8.991693       | 2s2.2p | 2P*  | 2s.2p2         | 2P   |    |
               137.8943    |     4 | 1.71e+09  | C+   |    0.0018953       -     8.993138       | 2s2.2p | 2P*  | 2s.2p2         | 2P   |    |
               137.9166    |     1 | 6.84e+08  | C+   |    0.0018953       -     8.991693       | 2s2.2p | 2P*  | 2s.2p2         | 2P   |    |
