
----------------------------------------------------------------------------------------------------------------------------------------------
                 Observed  |  Rel. |    Aki    | Acc. |              Ei           Ek              |   Lower level    |   Upper level    |Type|
                Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |------------------|------------------|    |
                 Vac (nm)  |       |           |      |                                           | Conf.     | Term | Conf.     | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------
                           |       |           |      |                                           |           |      |           |      |    |
                104.8680   |     3 | 1.40e+09  | B    |     12.6913654      -      24.514172      | 1s2.2p2   | 1D   | 1s2.2p.3d | 1D*  |    |
                105.7788   |   0.5 | 6.39e+07  | C    |      9.1000071      -      20.821324      | 1s2.2s.2p | 1P*  | 1s2.2s.4s | 1S   |    |
                108.1795   |     3 | 1.22e+08  | A    |      4.629017       -      16.089904      | 1s2.2s.2p | 3P*  | 1s2.2s.3s | 3S   |    |
                108.1873   |     9 | 3.65e+08  | A    |      4.629774       -      16.089904      | 1s2.2s.2p | 3P*  | 1s2.2s.3s | 3S   |    |
                108.2065   |    12 | 6.08e+08  | A    |      4.631777       -      16.089904      | 1s2.2s.2p | 3P*  | 1s2.2s.3s | 3S   |    |
                           |       |           |      |                                           |           |      |           |      |    |
                118.6703   |     2 | 2.32e+08  | B    |     12.6913654      -      23.139160      | 1s2.2p2   | 1D   | 1s2.2p.3s | 1P*  |    |
                120.8363   |     4 | 1.8e+08   | C    |     12.264500       -      22.525046      | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                120.8558   |   16* | 2.4e+08   | C    |     12.263448       -      22.522417      | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                120.8558   |   16* | 5.53e+08  | C    |     12.266160       -      22.525046      | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                120.8673   |     4 | 1.84e+08  | C    |     12.264500       -      22.522417      | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                           |       |           |      |                                           |           |      |           |      |    |
                120.8856   |    8* | 7.3e+08   | C    |     12.264500       -      22.52122       | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                120.8856   |    8* | 3.1e+08   | C    |     12.266160       -      22.522417      | 1s2.2p2   | 3P   | 1s2.2p.3s | 3P*  |    |
                121.0705   |     2 | 1.05e+08  | B    |     12.6913654      -      22.93189       | 1s2.2p2   | 1D   | 1s2.2s.5f | 1F*  |    |
                123.0160   |     5 | 1.36e+09  | A    |      9.1000071      -      19.178634      | 1s2.2s.2p | 1P*  | 1s2.2s.3d | 1D   |    |
                125.938    |    15 | 1.91e+08  | B    |     12.6913654      -      22.53607       | 1s2.2p2   | 1D   | 1s2.2s.5p | 1P*  |    |
                           |       |           |      |                                           |           |      |           |      |    |
                129.12     |    a* |           |      |     15.827970       -      25.4300        | 1s2.2p2   | 1S   | 1s2.2p.3d | 1P*  |    |
                132.392    |       |           |      |    194.147+x        -     203.5117+x      | 1s.2s.2p2 | 5P   | 1s.2p3    | 5S*  |    |
                136.2463   |  1000 | 1.20e+09  | A    |      0.00000        -       9.1000071     | 1s2.2s2   | 1S   | 1s2.2s.2p | 1P*  |    |
