
-------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |   Rel. |     Aki    | Acc. |             Ei           Ek             |      Lower level      |      Upper level      |Type|
               Wavelength |   Int. |     s^-1   |      |            (eV)         (eV)            |-----------------------|-----------------------|    |
                Vac (nm)  |        |            |      |                                         | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                          |        |            |      |                                         |                |      |                |      |    |
               102.56     |    35* |            |      |     23.922903      -     [36.016218]    | 1s2.3p         | 2P*  | 1s2.8d         | 2D   |    |
               102.56     |    35* |            |      |     23.924144      -     [36.016218]    | 1s2.3p         | 2P*  | 1s2.8d         | 2D   |    |
               105.91     |    10* | 5.719e+07  | AA   |     24.309426      -     [36.017227]    | 1s2.3d         | 2D   | 1s2.8f         | 2F*  |    |
               105.91     |    10* | 6.129e+07  | AA   |     24.309788      -     [36.017227]    | 1s2.3d         | 2D   | 1s2.8f         | 2F*  |    |
               105.91     |    10* | 4.085e+06  | AA   |     24.309788      -     [36.017227]    | 1s2.3d         | 2D   | 1s2.8f         | 2F*  |    |
                          |        |            |      |                                         |                |      |                |      |    |
               107.76     |    15* |            |      |     23.922903      -     [35.429996]    | 1s2.3p         | 2P*  | 1s2.7d         | 2D   |    |
               107.76     |    15* |            |      |     23.924144      -     [35.429996]    | 1s2.3p         | 2P*  | 1s2.7d         | 2D   |    |
               111.50     |     9* | 9.229e+07  | AA   |     24.309426      -     [35.431485]    | 1s2.3d         | 2D   | 1s2.7f         | 2F*  |    |
               111.50     |     9* | 9.888e+07  | AA   |     24.309788      -     [35.431485]    | 1s2.3d         | 2D   | 1s2.7f         | 2F*  |    |
               111.50     |     9* | 6.591e+06  | AA   |     24.309788      -     [35.431485]    | 1s2.3d         | 2D   | 1s2.7f         | 2F*  |    |
                          |        |            |      |                                         |                |      |                |      |    |
               115.45     |    10* |            |      |    220.67444       -     231.4130       | 1s.2s.(3S).3p  | 4P*  | 1s.2s.(3S).5d  | 4D   |    |
               115.45     |    10* |            |      |    220.67459       -     231.4130       | 1s.2s.(3S).3p  | 4P*  | 1s.2s.(3S).5d  | 4D   |    |
               115.45     |    10* |            |      |    220.67540       -     231.4130       | 1s.2s.(3S).3p  | 4P*  | 1s.2s.(3S).5d  | 4D   |    |
               116.92     |    25* | 1.33e+08   | A    |     23.922903      -     [34.526680]    | 1s2.3p         | 2P*  | 1s2.6d         | 2D   |    |
               116.92     |    25* | 8.30e+07   | A    |     22.342190      -      32.945545     | 1s2.3s         | 2S   | 1s2.5p         | 2P*  |    |
                          |        |            |      |                                         |                |      |                |      |    |
               116.92     |    25* | 8.30e+07   | A    |     22.342190      -      32.945281     | 1s2.3s         | 2S   | 1s2.5p         | 2P*  |    |
               116.92     |    25* | 1.60e+08   | A    |     23.924144      -     [34.526680]    | 1s2.3p         | 2P*  | 1s2.6d         | 2D   |    |
               116.92     |    25* | 2.66e+07   | A    |     23.924144      -     [34.526680]    | 1s2.3p         | 2P*  | 1s2.6d         | 2D   |    |
               119.500    |    40* |            |      |     23.922903      -     [34.297787]    | 1s2.3p         | 2P*  | 1s2.6s         | 2S   |    |
