
--------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |     Aki    | Acc. |            Ei           Ek            |  Lower level   |  Upper level   |Type|
              Wavelength |   Int. |     s^-1   |      |           (eV)         (eV)           |----------------|----------------|    |
               Vac (nm)  |        |            |      |                                       | Conf.  | Term  | Conf.  | Term  |    |
--------------------------------------------------------------------------------------------------------------------------------------
                         |        |            |      |                                       |        |       |        |       |    |
              102.510    |   70d* | 6.5584e+08 | AAA  |    233.4300       -     245.52443     | 1s.3s  | 3S    | 1s.4p  | 3P*   |    |
              102.510    |   70d* | 6.5594e+08 | AAA  |    233.4300       -     245.52443     | 1s.3s  | 3S    | 1s.4p  | 3P*   |    |
              102.510    |   70d* | 6.5600e+08 | AAA  |    233.4300       -     245.52443     | 1s.3s  | 3S    | 1s.4p  | 3P*   |    |
              109.93     |      3 | 6.5694e+08 | AAA  |    234.5498       -     245.83282     | 1s.3s  | 1S    | 1s.4p  | 1P*   |    |
              111.216    |   130* | 4.8893e+07 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
                         |        |            |      |                                       |        |       |        |       |    |
              111.216    |   130* | 7.3310e+08 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
              111.216    |   130* | 9.7725e+08 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
              111.216    |   130* | 4.3936e+08 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
              111.216    |   130* | 1.3179e+09 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
              111.216    |   130* | 1.7589e+09 | AAA  |    234.6057       -     245.75369     | 1s.3p  | 3P*   | 1s.4d  | 3D    |    |
                         |        |            |      |                                       |        |       |        |       |    |
              113.48     |    11* |            |      |    245.75369      -     256.68320     | 1s.4d  | 3D    | 1s.9f  | 1,3F* |    |
              113.48     |    11* |            |      |    245.75369      -     256.68320     | 1s.4d  | 3D    | 1s.9f  | 1,3F* |    |
              113.48     |    11* |            |      |    245.75369      -     256.68320     | 1s.4d  | 3D    | 1s.9f  | 1,3F* |    |
              113.48     |    11* |            |      |    245.76527      -     256.68348     | 1s.4f  | 3F*   | 1s.9g  | 1,3G  |    |
              113.48     |    11* |            |      |    245.76527      -     256.68348     | 1s.4f  | 3F*   | 1s.9g  | 1,3G  |    |
                         |        |            |      |                                       |        |       |        |       |    |
              113.48     |    11* |            |      |    245.76527      -     256.68348     | 1s.4f  | 3F*   | 1s.9g  | 1,3G  |    |
              116.380    |     14 | 7.8434e+07 | AAA  |    235.1767       -     245.83282     | 1s.3d  | 1D    | 1s.4p  | 1P*   |    |
              116.890    |   350* | 1.5736e+07 | AAA  |    235.1586       -     245.76527     | 1s.3d  | 3D    | 1s.4f  | 3F*   |    |
              116.890    |   350* | 5.4906e+08 | AAA  |    235.1586       -     245.76527     | 1s.3d  | 3D    | 1s.4f  | 3F*   |    |
              116.890    |   350* | 2.9688e+09 | AAA  |    235.1586       -     245.76527     | 1s.3d  | 3D    | 1s.4f  | 3F*   |    |
