
---------------------------------------------------------------------------------------------------------------------------------------------
                 Observed  |  Rel. |     Aki    | Acc. |                Ei           Ek                |  Lower level  |  Upper level  |Type|
                Wavelength |  Int. |     s^-1   |      |               (eV)         (eV)               |---------------|---------------|    |
                 Vac (nm)  |       |            |      |                                               | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------
                           |       |            |      |                                               |        |      |        |      |    |
             104.98        |  160* | 2.7897e+08 | AA   |   (318.96262884)      -    (330.777296478)    | 4s     | 2S   | 6p     | 2P*  |    |
             104.98        |  160* | 7.5144e+08 | AA   |   (318.96596024)      -    (330.777644332)    | 4d     | 2D   | 6f     | 2F*  |    |
             104.98        |  160* | 5.3937e+08 | AA   |   (318.965966201)     -    (330.777644964)    | 4p     | 2P*  | 6d     | 2D   |    |
             104.98        |  160* | 8.2791e+08 | AA   |   (318.967140319)     -    (330.777819114)    | 4f     | 2F*  | 6g     | 2G   |    |
             104.98        |  160* | 8.0491e+08 | AA   |   (318.96714245)      -    (330.777819447)    | 4d     | 2D   | 6f     | 2F*  |    |
                           |       |            |      |                                               |        |      |        |      |    |
             104.98        |  160* | 8.5847e+08 | AA   |   (318.967731340)     -    (330.777924179)    | 4f     | 2F*  | 6g     | 2G   |    |
             121.505       | 60bl* |            |      |   (326.618019390)     -    (336.824562224)    | 5s     | 2S   | 10p    | 2P*  |    |
             121.505       | 60bl* |            |      |   (326.619724830)     -    (336.824637351)    | 5d     | 2D   | 10f    | 2F*  |    |
             121.505       | 60bl* |            |      |   (326.619727906)     -    (336.824637490)    | 5p     | 2P*  | 10d    | 2D   |    |
             121.505       | 60bl* |            |      |   (326.620329029)     -    (336.8246751045)   | 5f     | 2F*  | 10g    | 2G   |    |
                           |       |            |      |                                               |        |      |        |      |    |
             121.505       | 60bl* |            |      |   (326.620330120)     -    (336.824675176)    | 5d     | 2D   | 10f    | 2F*  |    |
             121.505       | 60bl* |            |      |   (326.620631058)     -    (336.8246977545)   | 5g     | 2G   | 10h    | 2H*  |    |
             121.505       | 60bl* |            |      |   (326.620631625)     -    (336.8246977985)   | 5f     | 2F*  | 10g    | 2G   |    |
             121.505       | 60bl* |            |      |   (326.620812611)     -    (336.8247128837)   | 5g     | 2G   | 10h    | 2H*  |    |
             149.499       |   20* |            |      |   (326.618019390)     -    (334.911190502)    | 5s     | 2S   | 8p     | 2P*  |    |
                           |       |            |      |                                               |        |      |        |      |    |
             149.499       |   20* |            |      |   (326.619724830)     -    (334.911337240)    | 5d     | 2D   | 8f     | 2F*  |    |
             149.499       |   20* |            |      |   (326.619727906)     -    (334.911337511)    | 5p     | 2P*  | 8d     | 2D   |    |
             149.499       |   20* |            |      |   (326.620329029)     -    (334.9114109781)   | 5f     | 2F*  | 8g     | 2G   |    |
             149.499       |   20* |            |      |   (326.620330120)     -    (334.911411119)    | 5d     | 2D   | 8f     | 2F*  |    |
             149.499       |   20* |            |      |   (326.620631058)     -    (334.9114552156)   | 5g     | 2G   | 8h     | 2H*  |    |
                           |       |            |      |                                               |        |      |        |      |    |
             149.499       |   20* |            |      |   (326.620631625)     -    (334.9114553024)   | 5f     | 2F*  | 8g     | 2G   |    |
