
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level          |         Upper level          |Type|
          |              Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)           |------------------------------|------------------------------|    |
          |               Vac (nm)  |       |           |      |                                      | Conf.             | Term     | Conf.             | Term     |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba VIII   |              101.3120   |    90 | 6.0e+08   |      |    31.0455       -     43.2833       | 5s.5p.(3P*).4f    | 4F       | 5s.5p.(3P*)5d     | 4D*      |    |
Ba VIII   |              103.9553   |    37 | 3.0e+08   |      |    30.9860       -     42.9127       | 5s.5p.(3P*).4f    | 4D       | 5s.5p.(3P*)5d     | 4P*      |    |
Ba III    |              104.6044   |     2 |           |      |    16.461479     -     28.314221     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).7p | 2[1/2]   |    |
Ba III    |              104.8265   |    10 |           |      |    16.461479     -     28.289124     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba VIII   |              104.8343   |    86 | 2.0e+08   |      |    17.1935       -     29.0202       | 5s2.4f            | 2F*      | 5s2.5d            | 2D       |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              105.3877   |     7 |           |      |    16.684320     -     28.448929     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).5f | 2[5/2]   |    |
Ba III    |              105.8310   |     4 |           |      |    16.684320     -     28.399642     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).7p | 2[5/2]   |    |
Ba III    |              106.6084   |     9 |           |      |    16.684320     -     28.314221     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).7p | 2[1/2]   |    |
Ba III    |              106.6748   |    10 |           |      |    16.684320     -     28.306914     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
Ba III    |              106.8390   |     8 |           |      |    16.684320     -     28.289124     | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<3/2>).5f | 2[3/2]   |    |
          |                         |       |           |      |                                      |                   |          |                   |          |    |
Ba III    |              107.0068   |     6 |           |      |    18.976354     -     30.562945     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<1/2>).5f | 2[5/2]   |    |
Ba VI     |              107.2606   |     4 |           |      |     6.15222      -     17.71138      | 5s2.5p3           | 2P*      | 5s.(2S).5p4.(3P)  | 4P       |    |
Ba VIII   |              107.4920   |   128 | 1.5e+08   |      |    17.0336       -     28.5679       | 5s2.4f            | 2F*      | 5s2.5d            | 2D       |    |
Ba III    |              107.8880   |     4 |           |      |    17.107728     -     28.599674     | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7p | 2[3/2]   |    |
