
----------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
             Air (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
----------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |        |      |        |      |    |
            240.92     |       | 8.6e+04   |      |    0.000000     -     5.144648    | 6s2    | 1S   | 6s.18p | 1P*  |    |
            241.41     |       | 1.5e+05   |      |    0.000000     -     5.134314    | 6s2    | 1S   | 6s.17p | 1P*  |    |
            242.01     |       | 2.3e+05   |      |    0.000000     -     5.121524    | 6s2    | 1S   | 6s.16p | 1P*  |    |
            242.74     |       | 5.6e+05   |      |    0.000000     -     5.106115    | 6s2    | 1S   | 6s.15p | 1P*  |    |
            243.25     |       | 7.2e+05   |      |    0.000000     -     5.095403    | 6s2    | 1S   | 5d.8p  | 3P*  |    |
                       |       |           |      |                                   |        |      |        |      |    |
            243.88     |       | 1.4e+05   |      |    0.000000     -     5.082265    | 6s2    | 1S   | 6s.14p | 1P*  |    |
            244.46     |       | 4.5e+05   |      |    0.000000     -     5.070180    | 6s2    | 1S   | 5d.8p  | 3D*  |    |
            245.24     |       | 8.1e+04   |      |    0.000000     -     5.054244    | 6s2    | 1S   | 6s.13p | 1P*  |    |
            247.32     |       | 4.6e+05   |      |    0.000000     -     5.012517    | 6s2    | 1S   | 6s.12p | 1P*  |    |
            250.02     |       | 1.5e+06   |      |    0.000000     -     4.957153    | 6s2    | 1S   | 6s.11p | 1P*  |    |
                       |       |           |      |                                   |        |      |        |      |    |
            254.32     |       | 4.1e+06   |      |    0.000000     -     4.874060    | 6s2    | 1S   | 6s.10p | 1P*  |    |
            259.66357  |   120 |           |      |    0.000000     -     4.7733741   | 6s2    | 1S   | 5d.7p  | 1P*  |    |
            264.65     |       | 1.1e+06   |      |    0.000000     -     4.683538    | 6s2    | 1S   | 6s.9p  | 1P*  |    |
            270.26331  |    78 |           |      |    0.000000     -     4.5861729   | 6s2    | 1S   | 5d.7p  | 3P*  |    |
            273.92363  |    39 |           |      |    0.000000     -     4.5248939   | 6s2    | 1S   | 5d.7p  | 3D*  |    |
                       |       |           |      |                                   |        |      |        |      |    |
            278.52784  |    95 |           |      |    0.000000     -     4.4500983   | 6s2    | 1S   | 6s.8p  | 1P*  |    |
            307.15841  |   168 | 4.2e+07   | C    |    0.000000     -     4.0353176   | 6s2    | 1S   | 6s.7p  | 1P*  |    |
            313.572    |    8w |           |      |    1.1425765    -     5.095403    | 6s.5d  | 3D   | 5d.8p  | 3P*  |    |
            313.770    |    10 |           |      |    1.1200690    -     5.070351    | 6s.5d  | 3D   | 6s.10f | 3F*  |    |
            315.567    |    10 |           |      |    1.1425765    -     5.070351    | 6s.5d  | 3D   | 6s.10f | 3F*  |    |
                       |       |           |      |                                   |        |      |        |      |    |
            316.560    |    25 |           |      |    1.1200690    -     5.035478    | 6s.5d  | 3D   | 6s.9f  | 3F*  |    |
