
------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level  |  Upper level  |Type|
             Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |---------------|---------------|    |
              Vac (nm)  |       |           |      |                                    | Conf.  | Term | Conf.  | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                    |        |      |        |      |    |
             143.315    |       |           |      |    0.7035864    -     9.35430      | 5d     | 2D   | 10f    | 2F*  |    |
             144.485    |       |           |      |    0.6042806    -     9.186119     | 5d     | 2D   | 9f     | 2F*  |    |
             150.401    |       |           |      |    0.7035864    -     8.947963     | 5d     | 2D   | 8f     | 2F*  |    |
             155.438    |       |           |      |    0.6042806    -     8.581163     | 5d     | 2D   | 7f     | 2F*  |    |
             157.273    |       |           |      |    0.7035864    -     8.587202     | 5d     | 2D   | 7f     | 2F*  |    |
                        |       |           |      |                                    |        |      |        |      |    |
             157.392    |       |           |      |    0.7035864    -     8.581163     | 5d     | 2D   | 7f     | 2F*  |    |
             163.040    |       | 2.4e+06   | C    |    0.000000     -     7.60513      | 6s     | 2S   | 8p     | 2P*  |    |
             167.451    |       |           |      |    0.6042806    -     8.008924     | 5d     | 2D   | 6f     | 2F*  |    |
             169.437    |       |           |      |    0.7035864    -     8.021415     | 5d     | 2D   | 6f     | 2F*  |    |
             169.716    |       |           |      |    0.7035864    -     8.008924     | 5d     | 2D   | 6f     | 2F*  |    |
                        |       |           |      |                                    |        |      |        |      |    |
             176.175    |       | 3.9e+05   |      |    0.6042806    -     7.64263      | 5d     | 2D   | 8p     | 2P*  |    |
             177.103    |       | 1.0e+07   | D    |    0.6042806    -     7.60513      | 5d     | 2D   | 8p     | 2P*  |    |
             178.693    |       | 4.4e+06   |      |    0.7035864    -     7.64263      | 5d     | 2D   | 8p     | 2P*  |    |
             189.265    |       | 1.3e+07   | D    |    2.5121133    -     9.063440     | 6p     | 2P*  | 10d    | 2D   |    |
             192.46712  |    10 |           |      |    0.7035864    -     7.1454247    | 5d     | 2D   | 5f     | 2F*  |    |
                        |       |           |      |                                    |        |      |        |      |    |
             195.421    |       | 1.4e+07   | D    |    2.7217511    -     9.066016     | 6p     | 2P*  | 10d    | 2D   |    |
             197.019    |       |           |      |    2.7217511    -     9.014305     | 6p     | 2P*  | 11s    | 2S   |    |
             198.57548  |     6 | 2.0e+07   | D    |    2.5121133    -     8.7557943    | 6p     | 2P*  | 9d     | 2D   |    |
             199.952    |       |           |      |    0.000000     -     6.2006156    | 6s     | 2S   | 7p     | 2P*  |    |
------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level  |  Upper level  |Type|
             Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |---------------|---------------|    |
              Air (nm)  |       |           |      |                                    | Conf.  | Term | Conf.  | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                    |        |      |        |      |    |
             200.920    |       | 6.5e+06   | C+   |    2.5121133    -     8.6807017    | 6p     | 2P*  | 10s    | 2S   |    |
