
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                  Observed  |  Rel. |     Aki    | Acc. |              Ei           Ek               |          Lower level          |        Upper level         |Type|
          |                 Wavelength |  Int. |     s^-1   |      |             (eV)         (eV)              |-------------------------------|----------------------------|    |
          |                  Vac (nm)  |       |            |      |                                            | Conf.                  | Term | Conf.               | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                            |       |            |      |                                            |                        |      |                     |      |    |
Be II     |                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2                 | 2P   | 1s.2p.(1P*).3d      | 2D*  |    |
Be II     |                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2                 | 2P   | 1s.2p.(1P*).3d      | 2D*  |    |
Be II     |                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2                 | 2P   | 1s.2p.(1P*).3d      | 2D*  |    |
Be II     |                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p               | 4P*  | 1s.2s.3s            | 4S   |    |
Be II     |                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p               | 4P*  | 1s.2s.3s            | 4S   |    |
          |                            |       |            |      |                                            |                        |      |                     |      |    |
Be II     |                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p               | 4P*  | 1s.2s.3s            | 4S   |    |
Be I      |                 102.5      |   a,B |            |      |      0.000000       -      12.101a         | 1s2.2s2                | 1S   | 1s2.2p.4s           | 1P*  |    |
Be II     |                 102.6926   |  300* | 1.46e+08   | AA   |      3.9586596      -      16.032412       | 1s2.2p                 | 2P*  | 1s2.5d              | 2D   |    |
Be II     |                 102.6926   |  300* | 1.76e+08   | AA   |      3.9594749      -      16.032427       | 1s2.2p                 | 2P*  | 1s2.5d              | 2D   |    |
Be II     |                 103.6271   |  400* | 1.721e+08  | AA   |      0.000000       -      11.9641384      | 1s2.2s                 | 2S   | 1s2.3p              | 2P*  |    |
          |                            |       |            |      |                                            |                        |      |                     |      |    |
Be I      |                 104.58     |   a,B |            |      |      0.000000       -      11.8583a        | 1s2.2s2                | 1S   | 1s2.2p.3d           | 1P*  |    |
Be II     |                 104.8234   |  300* | 4.52e+07   | A    |      3.9594749      -      15.787542       | 1s2.2p                 | 2P*  | 1s2.5s              | 2S   |    |
Be II     |                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2                 | 2D   | 1s.2p.(3P*).3d      | 2D*  |    |
Be II     |                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2                 | 2D   | 1s.2p.(3P*).3d      | 2D*  |    |
Be II     |                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2                 | 2D   | 1s.2p.(3P*).3d      | 2D*  |    |
          |                            |       |            |      |                                            |                        |      |                     |      |    |
Be II     |                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2                 | 2D   | 1s.2p.(3P*).3d      | 2D*  |    |
Be III    |                 111.469    |    1* | 4.3757e+05 | AAA  |    140.2736         -     151.3959         | 1s.3d                  | 3D   | 1s.7f               | 3F*  |    |
