
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |  Rel. |    Aki    | Acc. |              Ei           Ek              |          Lower level          |        Upper level         |Type|
               Wavelength |  Int. |    s^-1   |      |             (eV)         (eV)             |-------------------------------|----------------------------|    |
                Vac (nm)  |       |           |      |                                           | Conf.                  | Term | Conf.               | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |       |           |      |                                           |                        |      |                     |      |    |
                102.5     |   a,B |           |      |      0.000000       -      12.101a        | 1s2.2s2                | 1S   | 1s2.2p.4s           | 1P*  |    |
                104.58    |   a,B |           |      |      0.000000       -      11.8583a       | 1s2.2s2                | 1S   | 1s2.2p.3d           | 1P*  |    |
                113.4     |   a,B |           |      |      0.000000       -      10.935a        | 1s2.2s2                | 1S   | 1s2.2p.3s           | 1P*  |    |
                134.22    |     a |           |      |      0.000000       -      [9.23733]      | 1s2.2s2                | 1S   | 1s2.2s.13p          | 1P*  |    |
                134.47    |     a |           |      |      0.000000       -      [9.22203]      | 1s2.2s2                | 1S   | 1s2.2s.12p          | 1P*  |    |
                          |       |           |      |                                           |                        |      |                     |      |    |
                134.74    |     a |           |      |      0.000000       -      [9.20224]      | 1s2.2s2                | 1S   | 1s2.2s.11p          | 1P*  |    |
                135.13    |     a |           |      |      0.000000       -      [9.17597]      | 1s2.2s2                | 1S   | 1s2.2s.10p          | 1P*  |    |
                135.65    |     a | 3.71e+05  | C    |      0.000000       -      [9.13880]      | 1s2.2s2                | 1S   | 1s2.2s.9p           | 1P*  |    |
                136.43    |     a | 4.28e+05  | C    |      0.000000       -      [9.08924]      | 1s2.2s2                | 1S   | 1s2.2s.8p           | 1P*  |    |
                137.56    |     a | 6.30e+05  | C    |      0.000000       -      [9.01387]      | 1s2.2s2                | 1S   | 1s2.2s.7p           | 1P*  |    |
                          |       |           |      |                                           |                        |      |                     |      |    |
                139.39    |     a | 7.76e+05  | C    |      0.000000       -       8.895381      | 1s2.2s2                | 1S   | 1s2.2s.6p           | 1P*  |    |
                142.6117  |     4 | 7.57e+05  | C    |      0.000000       -       8.693832      | 1s2.2s2                | 1S   | 1s2.2s.5p           | 1P*  |    |
                149.1762  |     8 | 1.2e+05   | D    |      0.000000       -       8.311243      | 1s2.2s2                | 1S   | 1s2.2s.4p           | 1P*  |    |
                166.1478  |    30 | 7.23e+06  | A    |      0.000000       -       7.462279      | 1s2.2s2                | 1S   | 1s2.2s.3p           | 1P*  |    |
                190.712   |   2,* |           |      |      2.724959       -       9.22632       | 1s2.2s.2p              | 3P*  | 1s2.2s.12d          | 3D   |    |
                          |       |           |      |                                           |                        |      |                     |      |    |
                190.712   |   2,* |           |      |      2.7250393      -       9.22632       | 1s2.2s.2p              | 3P*  | 1s2.2s.12d          | 3D   |    |
                190.712   |   2,* |           |      |      2.7250393      -       9.22632       | 1s2.2s.2p              | 3P*  | 1s2.2s.12d          | 3D   |    |
                190.712   |   2,* |           |      |      2.725330       -       9.22632       | 1s2.2s.2p              | 3P*  | 1s2.2s.12d          | 3D   |    |
                190.712   |   2,* |           |      |      2.725330       -       9.22632       | 1s2.2s.2p              | 3P*  | 1s2.2s.12d          | 3D   |    |
