
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                  Observed  |  Rel. |     Aki    | Acc. |              Ei           Ek               |        Lower level         |      Upper level      |Type|
                 Wavelength |  Int. |     s^-1   |      |             (eV)         (eV)              |----------------------------|-----------------------|    |
                  Vac (nm)  |       |            |      |                                            | Conf.               | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------
                            |       |            |      |                                            |                     |      |                |      |    |
                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2              | 2P   | 1s.2p.(1P*).3d | 2D*  |    |
                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2              | 2P   | 1s.2p.(1P*).3d | 2D*  |    |
                 100.65     |    3* |            |      |    123.130          -     135.448          | 1s.2p2              | 2P   | 1s.2p.(1P*).3d | 2D*  |    |
                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p            | 4P*  | 1s.2s.3s       | 4S   |    |
                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p            | 4P*  | 1s.2s.3s       | 4S   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 102.01     |    3* |            |      |    115.87476+x      -     128.03272+x      | 1s.2s.2p            | 4P*  | 1s.2s.3s       | 4S   |    |
                 102.6926   |  300* | 1.46e+08   | AA   |      3.9586596      -      16.032412       | 1s2.2p              | 2P*  | 1s2.5d         | 2D   |    |
                 102.6926   |  300* | 1.76e+08   | AA   |      3.9594749      -      16.032427       | 1s2.2p              | 2P*  | 1s2.5d         | 2D   |    |
                 103.6271   |  400* | 1.721e+08  | AA   |      0.000000       -      11.9641384      | 1s2.2s              | 2S   | 1s2.3p         | 2P*  |    |
                 104.8234   |  300* | 4.52e+07   | A    |      3.9594749      -      15.787542       | 1s2.2p              | 2P*  | 1s2.5s         | 2S   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2              | 2D   | 1s.2p.(3P*).3d | 2D*  |    |
                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2              | 2D   | 1s.2p.(3P*).3d | 2D*  |    |
                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2              | 2D   | 1s.2p.(3P*).3d | 2D*  |    |
                 111.18     |    9* |            |      |    122.418a         -     133.571          | 1s.2p2              | 2D   | 1s.2p.(3P*).3d | 2D*  |    |
                 114.2956   |  350* | 3.14e+08   | AA   |      3.9586596      -      14.806341       | 1s2.2p              | 2P*  | 1s2.4d         | 2D   |    |
                            |       |            |      |                                            |                     |      |                |      |    |
                 114.303    |  350* | 3.75e+08   | AA   |      3.9594749      -      14.806371       | 1s2.2p              | 2P*  | 1s2.4d         | 2D   |    |
                 114.303    |  350* | 6.27e+07   | AA   |      3.9594749      -      14.806341       | 1s2.2p              | 2P*  | 1s2.4d         | 2D   |    |
                 115.59     |   40* |            |      |    121.20669+x      -     131.93063+x      | 1s.2p2              | 4P   | 1s.2p.3s       | 4P*  |    |
                 115.59     |   40* |            |      |    121.20669+x      -     131.93063+x      | 1s.2p2              | 4P   | 1s.2p.3s       | 4P*  |    |
