
------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |     Aki    | Acc. |         Ei           Ek         |  Lower level  |  Upper level  |Type|
         Wavelength |  Int. |     s^-1   |      |        (eV)         (eV)        |---------------|---------------|    |
          Vac (nm)  |       |            |      |                                 | Conf.  | Term | Conf.  | Term |    |
------------------------------------------------------------------------------------------------------------------------
                    |       |            |      |                                 |        |      |        |      |    |
           111.469  |    1* | 8.8725e+06 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           111.469  |    1* | 8.2702e+07 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           111.469  |    1* | 1.5302e+07 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           111.469  |    1* | 4.3757e+05 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           111.469  |    1* | 7.3077e+07 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
                    |       |            |      |                                 |        |      |        |      |    |
           111.469  |    1* | 9.8455e+07 | AAA  |    140.2736    -     151.3959   | 1s.3d  | 3D   | 1s.7f  | 3F*  |    |
           121.312  |    2* | 2.7192e+07 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           121.312  |    2* | 1.2705e+08 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           121.312  |    2* | 1.5398e+07 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           121.312  |    2* | 7.7756e+05 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
                    |       |            |      |                                 |        |      |        |      |    |
           121.312  |    2* | 1.4696e+08 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           121.312  |    2* | 1.7495e+08 | AAA  |    140.2736    -     150.4939   | 1s.3d  | 3D   | 1s.6f  | 3F*  |    |
           121.432  |     1 | 1.4170e+08 | AAA  |    140.2834    -     150.4936   | 1s.3d  | 1D   | 1s.6f  | 1F*  |    |
           136.225  |    2* | 2.1119e+08 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
           136.225  |    2* | 7.8243e+06 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
                    |       |            |      |                                 |        |      |        |      |    |
           136.225  |    2* | 7.0390e+07 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
           136.225  |    2* | 2.8167e+08 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
           136.225  |    2* | 1.1736e+08 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
           136.225  |    2* | 1.5649e+08 | AAA  |    139.8914    -     148.9921   | 1s.3p  | 3P*  | 1s.5d  | 3D   |    |
