
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |         Lower level         |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |-----------------------------|-----------------------------|    |
          |             Vac (nm)  |        |           |      |                                    | Conf.          | Term       | Conf.          | Term       |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi III    |            103.999    |     25 |           |      |                                    |                |            |                |            |    |
Bi III    |            104.576    |    50w |           |      |                                    |                |            |                |            |    |
Bi III    |            105.181    |     30 |           |      |                                    |                |            |                |            |    |
Bi II     |            105.888    |     15 |           |      |                                    |                |            |                |            |    |
Bi II     |            108.547    |     20 |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi II     |            109.920    |     10 |           |      |                                    |                |            |                |            |    |
Bi IV     |            110.34     |     24 |           |      |                                    |                |            |                |            |    |
Bi IV     |            112.88     |      7 |           |      |                                    |                |            |                |            |    |
Bi IV     |            113.86     |      6 |           |      |                                    |                |            |                |            |    |
Bi III    |            113.901    |     20 |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi V      |            113.946    |   15bl |           |      |                                    |                |            |                |            |    |
Bi IV     |            113.98     |      6 |           |      |                                    |                |            |                |            |    |
Bi III    |            114.591    |     15 |           |      |                                    |                |            |                |            |    |
Bi IV     |            114.97     |      7 |           |      |                                    |                |            |                |            |    |
Bi II     |            116.319    |      8 |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi II     |            116.706    |      8 |           |      |                                    |                |            |                |            |    |
Bi III    |            122.464    |     50 |           |      |                                    |                |            |                |            |    |
Bi II     |            122.543    |     10 |           |      |                                    |                |            |                |            |    |
Bi II     |            123.278    |     15 |           |      |                                    |                |            |                |            |    |
Bi II     |            124.1045   |     10 |           |      |    0.0000000    -      9.9902831   | 6p2            | 3P         | 6p.6d          | (1/2,3/2)* |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi II     |            126.535    |     10 |           |      |                                    |                |            |                |            |    |
Bi II     |            128.3715   |     15 |           |      |    2.1116613    -     11.7698988   | 6p2            | 3P         | 6s.6p3         | 3D*        |    |
Bi II     |            130.618    |     10 |           |      |                                    |                |            |                |            |    |
Bi IV     |            131.70     |     60 |           |      |                                    |                |            |                |            |    |
Bi II     |            132.546    |     20 |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi III    |            132.684    |     40 |           |      |                                    |                |            |                |            |    |
Bi II     |            132.947    |     20 |           |      |                                    |                |            |                |            |    |
Bi III    |            134.612    |     60 |           |      |                                    |                |            |                |            |    |
Bi II     |            135.007    |     20 |           |      |                                    |                |            |                |            |    |
Bi II     |            137.261    |     25 |           |      |                                    |                |            |                |            |    |
          |                       |        |           |      |                                    |                |            |                |            |    |
Bi II     |            137.602    |     15 |           |      |                                    |                |            |                |            |    |
Bi II     |            139.392    |     20 |           |      |                                    |                |            |                |            |    |
