
-----------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |     Lower level     |     Upper level     |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |---------------------|---------------------|    |
             Vac (nm)  |       |           |      |                                    | Conf.  | Term       | Conf.  | Term       |    |
-----------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                    |        |            |        |            |    |
            105.888    |    15 |           |      |                                    |        |            |        |            |    |
            108.547    |    20 |           |      |                                    |        |            |        |            |    |
            109.920    |    10 |           |      |                                    |        |            |        |            |    |
            116.319    |     8 |           |      |                                    |        |            |        |            |    |
            116.706    |     8 |           |      |                                    |        |            |        |            |    |
                       |       |           |      |                                    |        |            |        |            |    |
            122.543    |    10 |           |      |                                    |        |            |        |            |    |
            123.278    |    15 |           |      |                                    |        |            |        |            |    |
            124.1045   |    10 |           |      |    0.0000000    -      9.9902831   | 6p2    | 3P         | 6p.6d  | (1/2,3/2)* |    |
            126.535    |    10 |           |      |                                    |        |            |        |            |    |
            128.3715   |    15 |           |      |    2.1116613    -     11.7698988   | 6p2    | 3P         | 6s.6p3 | 3D*        |    |
                       |       |           |      |                                    |        |            |        |            |    |
            130.618    |    10 |           |      |                                    |        |            |        |            |    |
            132.546    |    20 |           |      |                                    |        |            |        |            |    |
            132.947    |    20 |           |      |                                    |        |            |        |            |    |
            135.007    |    20 |           |      |                                    |        |            |        |            |    |
            137.261    |    25 |           |      |                                    |        |            |        |            |    |
                       |       |           |      |                                    |        |            |        |            |    |
            137.602    |    15 |           |      |                                    |        |            |        |            |    |
            139.392    |    20 |           |      |                                    |        |            |        |            |    |
            143.6810   |    45 | 3.47e+06  |      |    0.0000000    -      8.6291108   | 6p2    | 3P         | 6p.7s  | (1/2,1/2)* |    |
            144.794    |    25 |           |      |                                    |        |            |        |            |    |
            145.5091   |    50 |           |      |                                    |        |            |        |            |    |
                       |       |           |      |                                    |        |            |        |            |    |
            146.214    |    25 |           |      |                                    |        |            |        |            |    |
            148.6954   |    35 |           |      |                                    |        |            |        |            |    |
            150.250    |    20 |           |      |                                    |        |            |        |            |    |
            152.0549   |    40 |           |      |                                    |        |            |        |            |    |
            153.3139   |    40 |           |      |                                    |        |            |        |            |    |
                       |       |           |      |                                    |        |            |        |            |    |
            153.6745   |    30 |           |      |                                    |        |            |        |            |    |
            153.8037   |    35 |           |      |                                    |        |            |        |            |    |
            156.367    |    20 |           |      |                                    |        |            |        |            |    |
            157.369    |    40 |           |      |                                    |        |            |        |            |    |
            159.176    |    60 |           |      |    1.6521391    -      9.4412366   | 6p2    | 3P         | 6s.6p3 | 5S*        |    |
                       |       |           |      |                                    |        |            |        |            |    |
            160.158    |    25 |           |      |                                    |        |            |        |            |    |
            160.969    |    40 |           |      |                                    |        |            |        |            |    |
            161.1358   |    40 |           |      |                                    |        |            |        |            |    |
            165.281    |    20 |           |      |                                    |        |            |        |            |    |
            174.929    |    20 |           |      |                                    |        |            |        |            |    |
                       |       |           |      |                                    |        |            |        |            |    |
