
------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |   Upper level    |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |------------------|------------------|    |
          |           Vac (nm)  |        |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
          |                     |        |           |      |                                 |           |      |           |      |    |
Br II     |           101.210   |    500 |           |      |                                 |           |      |           |      |    |
Br II     |           101.554   |   1000 |           |      |                                 |           |      |           |      |    |
Br IV     |           101.5839  |     80 |           |      |    15.80100    -     27.99923   | 4s.4p3    | 3D   | 4s2.4p.5p | 1D   |    |
Br II     |           103.702   |    500 |           |      |                                 |           |      |           |      |    |
Br V      |           104.160   |    600 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br II     |           104.900   |   1000 |           |      |                                 |           |      |           |      |    |
Br IV     |           106.4325  |    250 |           |      |    15.80100    -     27.45008   | 4s.4p3    | 3D   | 4s2.4p.5p | 3P   |    |
Br II     |           106.476   |    450 |           |      |                                 |           |      |           |      |    |
Br V      |           106.915   |   1000 |           |      |                                 |           |      |           |      |    |
Br II     |           107.187   |    500 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           107.6587  |    700 |           |      |    15.93368    -     27.45008   | 4s.4p3    | 3D   | 4s2.4p.5p | 3P   |    |
Br V      |           108.054   |    500 |           |      |                                 |           |      |           |      |    |
Br IV     |           108.8921  |    150 |           |      |    15.93368    -     27.31893   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
Br I      |           110.150   |    250 |           |      |                                 |           |      |           |      |    |
Br V      |           111.213   |    900 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br IV     |           112.3726  |     25 |           |      |    15.80100    -     26.83447   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
Br IV     |           112.8545  |    200 |           |      |    15.80100    -     26.78647   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
Br I      |           113.459   |    300 |           |      |                                 |           |      |           |      |    |
Br I      |           113.629   |    250 |           |      |                                 |           |      |           |      |    |
Br V      |           114.356   |   1000 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br I      |           117.723   |    250 |           |      |                                 |           |      |           |      |    |
Br I      |           117.890   |    400 |           |      |                                 |           |      |           |      |    |
Br I      |           118.928   |   1000 |           |      |                                 |           |      |           |      |    |
Br I      |           118.938   |    250 |           |      |                                 |           |      |           |      |    |
Br I      |           118.950   |   1000 |           |      |                                 |           |      |           |      |    |
          |                     |        |           |      |                                 |           |      |           |      |    |
Br I      |           119.837   |    500 |           |      |                                 |           |      |           |      |    |
Br IV     |           119.8714  |    100 |           |      |    17.65654    -     27.99923   | 4s.4p3    | 3P   | 4s2.4p.5p | 1D   |    |
Br I      |           120.976   |    800 |           |      |                                 |           |      |           |      |    |
Br I      |           121.073   |   1000 |           |      |                                 |           |      |           |      |    |
