
----------------------------------------------------------------------------
          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |        |           |      |                     |    |
----------------------------------------------------------------------------
                    |        |           |      |                     |    |
           110.150  |    250 |           |      |                     |    |
           113.459  |    300 |           |      |                     |    |
           113.629  |    250 |           |      |                     |    |
           117.723  |    250 |           |      |                     |    |
           117.890  |    400 |           |      |                     |    |
                    |        |           |      |                     |    |
           118.928  |   1000 |           |      |                     |    |
           118.938  |    250 |           |      |                     |    |
           118.950  |   1000 |           |      |                     |    |
           119.837  |    500 |           |      |                     |    |
           120.976  |    800 |           |      |                     |    |
                    |        |           |      |                     |    |
           121.073  |   1000 |           |      |                     |    |
           121.601  |    750 |           |      |                     |    |
           122.113  |   1000 |           |      |                     |    |
           122.187  |    900 |           |      |                     |    |
           122.324  |   1000 |           |      |                     |    |
                    |        |           |      |                     |    |
           122.441  |   1200 |           |      |                     |    |
           122.690  |   1200 |           |      |                     |    |
           122.805  |    750 |           |      |                     |    |
           123.243  |   7500 |           |      |                     |    |
           124.390  |   1200 |           |      |                     |    |
                    |        |           |      |                     |    |
           124.959  |    800 |           |      |                     |    |
           125.166  |   1500 |           |      |                     |    |
           125.580  |   1000 |           |      |                     |    |
           125.920  |   1500 |           |      |                     |    |
           126.166  |   1200 |           |      |                     |    |
                    |        |           |      |                     |    |
           126.620  |   1200 |           |      |                     |    |
           127.948  |   1000 |           |      |                     |    |
           128.626  |   1000 |           |      |                     |    |
           130.991  |   3000 |           |      |                     |    |
           131.674  |   3000 |           |      |                     |    |
                    |        |           |      |                     |    |
           131.737  |   1000 |           |      |                     |    |
           131.770  |   2000 |           |      |                     |    |
           138.460  |  12000 |           |      |                     |    |
           144.990  |   3000 |           |      |                     |    |
           148.845  |  50000 | 1.2e+08   |      |                     |    |
                    |        |           |      |                     |    |
           153.174  |  30000 |           |      |                     |    |
           154.065  |  25000 | 1.4e+08   |      |                     |    |
           157.484  |  30000 | 2.0e+07   |      |                     |    |
           157.639  |  20000 | 2.1e+06   |      |                     |    |
           158.231  |  25000 |           |      |                     |    |
                    |        |           |      |                     |    |
           163.340  |  75000 | 8.1e+06   |      |                     |    |
----------------------------------------------------------------------------
          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |        |           |      |                     |    |
----------------------------------------------------------------------------
                    |        |           |      |                     |    |
           381.565  |   1200 |           |      |                     |    |
           399.236  |   1500 |           |      |                     |    |
           436.514  |   2000 | 7.5e+05   |      |                     |    |
           442.514  |   1500 | 4.2e+05   |      |                     |    |
           444.174  |  10000 | 7.5e+05   |      |                     |    |
                    |        |           |      |                     |    |
           447.261  |  10000 | 9.3e+05   |      |                     |    |
           447.772  |  20000 | 1.3e+06   |      |                     |    |
           449.042  |   1000 |           |      |                     |    |
           451.344  |   3000 | 2.8e+05   |      |                     |    |
           452.559  |  15000 | 7.2e+05   |      |                     |    |
                    |        |           |      |                     |    |
           457.574  |   3000 | 1.6e+06   |      |                     |    |
           461.458  |   2500 | 5.4e+05   |      |                     |    |
           475.228  |   2500 |           |      |                     |    |
           478.031  |   4000 |           |      |                     |    |
           478.519  |   1600 |           |      |                     |    |
                    |        |           |      |                     |    |
           497.976  |   4000 | 2.6e+05   |      |                     |    |
           524.512  |    350 | 3.1e+05   |      |                     |    |
           534.542  |    600 | 7.6e+05   |      |                     |    |
           539.548  |   1200 |           |      |                     |    |
           546.622  |   1200 |           |      |                     |    |
                    |        |           |      |                     |    |
           585.208  |   1800 |           |      |                     |    |
           594.048  |   1600 |           |      |                     |    |
           612.214  |   2400 |           |      |                     |    |
           614.860  |  40000 |           |      |                     |    |
           617.739  |   2000 |           |      |                     |    |
                    |        |           |      |                     |    |
           633.548  |   1500 |           |      |                     |    |
           635.073  |  60000 |           |      |                     |    |
           641.032  |   2500 |           |      |                     |    |
           648.356  |   1800 |           |      |                     |    |
           651.462  |   1000 |           |      |                     |    |
                    |        |           |      |                     |    |
           654.457  |  20000 |           |      |                     |    |
           654.809  |   1500 |           |      |                     |    |
           655.980  | 50000c |           |      |                     |    |
           657.131  |   1000 |           |      |                     |    |
           657.914  |   1800 |           |      |                     |    |
                    |        |           |      |                     |    |
           658.217  |  20000 |           |      |                     |    |
           662.047  |   1500 |           |      |                     |    |
           663.162  | 50000c |           |      |                     |    |
           668.228  |  20000 |           |      |                     |    |
           669.213  |  10000 |           |      |                     |    |
                    |        |           |      |                     |    |
           672.828  |   8000 |           |      |                     |    |
           676.006  |   2000 |           |      |                     |    |
           677.948  |   2000 |           |      |                     |    |
           678.674  |   2200 |           |      |                     |    |
           679.004  |   6500 |           |      |                     |    |
                    |        |           |      |                     |    |
           679.148  |  1600c |           |      |                     |    |
           686.115  |   1800 |           |      |                     |    |
           700.519  |  10000 |           |      |                     |    |
           726.045  |   2000 |           |      |                     |    |
           734.851  |  10000 | 1.2e+07   |      |                     |    |
                    |        |           |      |                     |    |
           751.296  |  40000 | 1.2e+07   |      |                     |    |
           759.161  |   1600 |           |      |                     |    |
           759.507  |   1800 |           |      |                     |    |
           761.641  |   2000 |           |      |                     |    |
           780.302  |  30000 | 5.3e+06   |      |                     |    |
                    |        |           |      |                     |    |
           782.723  |   1200 |           |      |                     |    |
           788.145  |  2500s |           |      |                     |    |
           788.157  |   2500 |           |      |                     |    |
           792.581  |   2500 |           |      |                     |    |
           793.868  | 30000c | 1.9e+07   |      |                     |    |
                    |        |           |      |                     |    |
           794.794  |   3000 |           |      |                     |    |
           795.018  |   3000 |           |      |                     |    |
           797.844  |   8000 |           |      |                     |    |
           797.857  |  10000 |           |      |                     |    |
           798.994  |  30000 |           |      |                     |    |
                    |        |           |      |                     |    |
           802.635  |   2000 |           |      |                     |    |
           802.654  |   2500 |           |      |                     |    |
           813.152  |  30000 | 3.8e+06   |      |                     |    |
           815.265  |  1000c |           |      |                     |    |
           815.375  |  10000 |           |      |                     |    |
                    |        |           |      |                     |    |
           815.400  |  25000 |           |      |                     |    |
           824.686  |   5000 |           |      |                     |    |
           826.496  |  15000 |           |      |                     |    |
           827.244  | 75000c |           |      |                     |    |
           833.470  |  20000 |           |      |                     |    |
                    |        |           |      |                     |    |
           834.370  |  10000 | 2.2e+07   |      |                     |    |
           838.404  |   1200 |           |      |                     |    |
           844.655  |  40000 | 1.2e+07   |      |                     |    |
           847.745  |   4000 |           |      |                     |    |
           851.338  |   1500 |           |      |                     |    |
                    |        |           |      |                     |    |
           855.773  |   1000 |           |      |                     |    |
           856.628  |   1000 |           |      |                     |    |
           863.866  |  20000 | 9.7e+06   |      |                     |    |
           869.853  |   4000 |           |      |                     |    |
           879.347  | 10000c |           |      |                     |    |
                    |        |           |      |                     |    |
           881.996  |  15000 |           |      |                     |    |
           882.522  |  25000 |           |      |                     |    |
           888.898  |   4000 |           |      |                     |    |
           889.762  |  30000 |           |      |                     |    |
           893.240  |   6000 |           |      |                     |    |
                    |        |           |      |                     |    |
