
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.210  |   500 |           |      |                     |    |
           101.554  |  1000 |           |      |                     |    |
           103.702  |   500 |           |      |                     |    |
           104.900  |  1000 |           |      |                     |    |
           106.476  |   450 |           |      |                     |    |
                    |       |           |      |                     |    |
           107.187  |   500 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           228.517  |   350 |           |      |                     |    |
           228.760  |   350 |           |      |                     |    |
           231.730  |  500w |           |      |                     |    |
           233.693  |   400 |           |      |                     |    |
           238.645  |   350 |           |      |                     |    |
                    |       |           |      |                     |    |
           238.670  |   500 |           |      |                     |    |
           238.869  |   300 |           |      |                     |    |
           238.896  |   450 |           |      |                     |    |
           238.969  |   500 |           |      |                     |    |
           239.221  |   350 |           |      |                     |    |
                    |       |           |      |                     |    |
           239.242  |   400 |           |      |                     |    |
           248.850  |   300 |           |      |                     |    |
           249.522  |  300w |           |      |                     |    |
           252.170  |   450 |           |      |                     |    |
           254.148  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           255.692  |   400 |           |      |                     |    |
           269.017  |   350 |           |      |                     |    |
           271.377  |   400 |           |      |                     |    |
           274.652  |  350w |           |      |                     |    |
           280.755  |  300w |           |      |                     |    |
                    |       |           |      |                     |    |
           289.340  |  400w |           |      |                     |    |
           291.718  |  400w |           |      |                     |    |
           296.721  |  400w |           |      |                     |    |
           297.226  |  500w |           |      |                     |    |
           298.186  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           298.587  |  300w |           |      |                     |    |
           298.653  |  300w |           |      |                     |    |
           301.648  |  300w |           |      |                     |    |
           342.382  |   350 |           |      |                     |    |
           360.680  |  300w |           |      |                     |    |
                    |       |           |      |                     |    |
           371.430  |   350 |           |      |                     |    |
           383.469  |   350 |           |      |                     |    |
           387.121  |   300 |           |      |                     |    |
           389.163  |   400 |           |      |                     |    |
           390.124  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           391.420  |   300 |           |      |                     |    |
           391.438  |   500 |           |      |                     |    |
           391.951  |   350 |           |      |                     |    |
           392.409  |   400 |           |      |                     |    |
           392.955  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           393.969  |   350 |           |      |                     |    |
           395.061  |   350 |           |      |                     |    |
           398.038  |   500 |           |      |                     |    |
           402.404  |   300 |           |      |                     |    |
           413.566  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           414.020  |   300 |           |      |                     |    |
           417.963  |   400 |           |      |                     |    |
           419.345  |   300 |           |      |                     |    |
           422.389  |  1000 |           |      |                     |    |
           423.689  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           429.139  |   300 |           |      |                     |    |
           436.560  |  1000 |           |      |                     |    |
           452.960  |   300 |           |      |                     |    |
           454.292  |   500 |           |      |                     |    |
           460.136  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           462.270  |   350 |           |      |                     |    |
           464.202  |   300 |           |      |                     |    |
           465.198  |   300 |           |      |                     |    |
           467.870  |   500 |           |      |                     |    |
           469.317  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           470.485  |   500 | 1.1e+08   |      |                     |    |
           471.976  |   350 |           |      |                     |    |
           472.036  |   400 |           |      |                     |    |
           472.820  |   300 |           |      |                     |    |
           473.541  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           474.264  |   400 |           |      |                     |    |
           476.600  |   350 |           |      |                     |    |
           477.940  |   400 |           |      |                     |    |
           478.550  |   500 | 9.4e+07   |      |                     |    |
           480.233  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           481.670  |   500 | 1.1e+08   |      |                     |    |
           481.846  |   300 |           |      |                     |    |
           484.481  |   350 |           |      |                     |    |
           484.875  |   350 |           |      |                     |    |
           492.112  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           492.879  |   400 |           |      |                     |    |
           493.066  |   450 |           |      |                     |    |
           494.551  |   300 |           |      |                     |    |
           503.874  |   300 |           |      |                     |    |
           505.464  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           516.438  |   400 |           |      |                     |    |
           518.001  |   300 |           |      |                     |    |
           518.235  |   500 |           |      |                     |    |
           519.390  |   300 |           |      |                     |    |
           523.823  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           527.268  |   300 |           |      |                     |    |
           530.410  |   350 |           |      |                     |    |
           533.057  |   400 |           |      |                     |    |
           533.205  |   500 |           |      |                     |    |
           542.278  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           542.499  |   350 |           |      |                     |    |
           543.507  |   300 |           |      |                     |    |
           547.847  |   350 |           |      |                     |    |
           548.879  |   300 |           |      |                     |    |
           549.506  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           550.669  |   500 |           |      |                     |    |
           558.994  |   350 |           |      |                     |    |
           571.871  |   300 |           |      |                     |    |
           583.078  |   300 |           |      |                     |    |
           616.174  |   300 |           |      |                     |    |
                    |       |           |      |                     |    |
           635.294  |   400 |           |      |                     |    |
           902.442  |   350 |           |      |                     |    |
           943.404  |   300 |           |      |                     |    |
