
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |   Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------|------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |           |      |           |      |    |
           101.5839  |    80 |           |      |    15.80100    -     27.99923   | 4s.4p3    | 3D   | 4s2.4p.5p | 1D   |    |
           106.4325  |   250 |           |      |    15.80100    -     27.45008   | 4s.4p3    | 3D   | 4s2.4p.5p | 3P   |    |
           107.6587  |   700 |           |      |    15.93368    -     27.45008   | 4s.4p3    | 3D   | 4s2.4p.5p | 3P   |    |
           108.8921  |   150 |           |      |    15.93368    -     27.31893   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
           112.3726  |    25 |           |      |    15.80100    -     26.83447   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
                     |       |           |      |                                 |           |      |           |      |    |
           112.8545  |   200 |           |      |    15.80100    -     26.78647   | 4s.4p3    | 3D   | 4s2.4p.5p | 3D   |    |
           119.8714  |   100 |           |      |    17.65654    -     27.99923   | 4s.4p3    | 3P   | 4s2.4p.5p | 1D   |    |
           122.8041  |   600 |           |      |     0.32509    -     10.42133   | 4s2.4p2   | 3P   | 4s.4p3    | 5S   |    |
           126.3673  |   800 |           |      |    17.32088    -     27.13196   | 4s.4p3    | 3P   | 4s2.4p.5p | 3P   |    |
           126.5336  |    50 |           |      |    17.65654    -     27.45008   | 4s.4p3    | 3P   | 4s2.4p.5p | 3P   |    |
                     |       |           |      |                                 |           |      |           |      |    |
           126.6290  |   500 |           |      |    17.84552    -     27.63660   | 4s.4p3    | 1D   | 4s2.4p.5p | 3S   |    |
           127.4822  |   900 |           |      |     0.69579    -     10.42133   | 4s2.4p2   | 3P   | 4s.4p3    | 5S   |    |
           128.3148  |    20 |           |      |    17.65654    -     27.31893   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
           130.2667  |   150 |           |      |    17.61463    -     27.13196   | 4s.4p3    | 3P   | 4s2.4p.5p | 3P   |    |
           130.8546  |   500 |           |      |    17.65654    -     27.13196   | 4s.4p3    | 3P   | 4s2.4p.5p | 3P   |    |
                     |       |           |      |                                 |           |      |           |      |    |
           130.9903  |   800 |           |      |    17.32088    -     26.78647   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
           134.4705  |   300 |           |      |    17.61463    -     26.83447   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
           135.1677  |   200 |           |      |    17.61463    -     26.78647   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
           135.7912  |   120 |           |      |    17.65654    -     26.78647   | 4s.4p3    | 3P   | 4s2.4p.5p | 3D   |    |
           137.9231  |    20 |           |      |    17.84552    -     26.83447   | 4s.4p3    | 1D   | 4s2.4p.5p | 3D   |    |
                     |       |           |      |                                 |           |      |           |      |    |
           147.3561  |   150 |           |      |     2.00735    -     10.42133   | 4s2.4p2   | 1D   | 4s.4p3    | 5S   |    |
