
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                     |                 |      |                 |      |    |
C II      |             100.986   |     9 | 5.65e+08  | A    |      5.33173     -      17.60912    | 2s.2p2          | 4P   | 2p3             | 4S*  |    |
C II      |             101.008   |    10 | 1.13e+09  | A    |      5.33446     -      17.60912    | 2s.2p2          | 4P   | 2p3             | 4S*  |    |
C II      |             101.037   |    10 | 1.69e+09  | A    |      5.33797     -      17.60912    | 2s.2p2          | 4P   | 2p3             | 4S*  |    |
C II      |             103.6337  |    80 | 7.38e+08  | A    |      0.00000     -      11.963698   | 2s2.2p          | 2P*  | 2s.2p2          | 2S   |    |
C II      |             103.7018  |   150 | 1.46e+09  | A    |      0.007863    -      11.963698   | 2s2.2p          | 2P*  | 2s.2p2          | 2S   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
C I       |             115.7910  |   150 | 3.52e+07  | B+   |      0.00000     -      10.707587   | 2s2.2p2         | 3P   | 2s2.2p.5d       | 3D*  |    |
C I       |             115.8019  |   150 | 5.57e+07  | B+   |      0.005381    -      10.711962   | 2s2.2p2         | 3P   | 2s2.2p.5d       | 3D*  |    |
C I       |             115.8035  |   150 | 3.10e+07  | B    |      0.002033    -      10.708465   | 2s2.2p2         | 3P   | 2s2.2p.6s       | 3P*  |    |
C III     |             117.493   |   370 | 3.293e+08 | A+   |      6.495625    -      17.048076   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
C III     |             117.526   |   350 | 4.385e+08 | A+   |      6.492688    -      17.042173   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
C III     |             117.559   |   330 | 3.287e+08 | A+   |      6.495625    -      17.042173   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
C III     |             117.571   |   500 | 9.856e+08 | A+   |      6.502613    -      17.048076   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
C III     |             117.599   |   350 | 1.313e+09 | A+   |      6.495625    -      17.038615   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
C III     |             117.637   |   370 | 5.468e+08 | A+   |      6.502613    -      17.042173   | 1s2.2s.2p       | 3P*  | 1s2.2p2         | 3P   |    |
C I       |             118.8992  |   150 | 7.18e+07  | B    |      0.002033    -      10.429702   | 2s2.2p2         | 3P   | 2s2.2p.4d       | 3P*  |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
C I       |             118.9447  |   150 | 2.96e+07  | B    |      0.005381    -      10.429066   | 2s2.2p2         | 3P   | 2s2.2p.4d       | 3P*  |    |
C I       |             118.9631  |   200 | 5.28e+07  | B    |      0.005381    -      10.427455   | 2s2.2p2         | 3P   | 2s2.2p.4d       | 3P*  |    |
