
------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |   Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------|------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.     | Term | Conf.     | Term |    |
------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |           |      |           |      |    |
           115.7910  |   150 | 3.52e+07  | B+   |    0.00000     -    10.707587   | 2s2.2p2   | 3P   | 2s2.2p.5d | 3D*  |    |
           115.8019  |   150 | 5.57e+07  | B+   |    0.005381    -    10.711962   | 2s2.2p2   | 3P   | 2s2.2p.5d | 3D*  |    |
           115.8035  |   150 | 3.10e+07  | B    |    0.002033    -    10.708465   | 2s2.2p2   | 3P   | 2s2.2p.6s | 3P*  |    |
           118.8992  |   150 | 7.18e+07  | B    |    0.002033    -    10.429702   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3P*  |    |
           118.9447  |   150 | 2.96e+07  | B    |    0.005381    -    10.429066   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3P*  |    |
                     |       |           |      |                                 |           |      |           |      |    |
           118.9631  |   200 | 5.28e+07  | B    |    0.005381    -    10.427455   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3P*  |    |
           119.3009  |   300 | 7.91e+07  | B+   |    0.002033    -    10.394597   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
           119.3031  |   300 | 6.39e+07  | B+   |    0.00000     -    10.392371   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
           119.3240  |   300 | 1.11e+08  | B+   |    0.005381    -    10.395930   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
           119.3264  |   300 | 4.29e+07  | B+   |    0.002033    -    10.392371   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
                     |       |           |      |                                 |           |      |           |      |    |
           119.3393  |   100 | 3.46e+07  | B+   |    0.005381    -    10.394597   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
           119.3649  |   150 | 2.25e+06  | B+   |    0.005381    -    10.392371   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3D*  |    |
           119.3679  |   150 | 2.54e+07  | A    |    0.002033    -    10.388764   | 2s2.2p2   | 3P   | 2s2.2p.5s | 3P*  |    |
           119.4064  |   100 | 2.98e+07  | B+   |    0.005381    -    10.388764   | 2s2.2p2   | 3P   | 2s2.2p.5s | 3P*  |    |
           119.4488  |   100 | 6.77e+06  | B+   |    0.005381    -    10.385072   | 2s2.2p2   | 3P   | 2s2.2p.4d | 3F*  |    |
                     |       |           |      |                                 |           |      |           |      |    |
           126.1552  |   100 | 1.31e+08  | B    |    0.005381    -     9.833292   | 2s2.2p2   | 3P   | 2s2.2p.3d | 3P*  |    |
           127.7245  |   250 | 1.26e+08  | A    |    0.00000     -     9.707155   | 2s2.2p2   | 3P   | 2s2.2p.3d | 3D*  |    |
           127.7282  |   250 | 1.70e+08  | A    |    0.002033    -     9.708908   | 2s2.2p2   | 3P   | 2s2.2p.3d | 3D*  |    |
