
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                |      |                |      |    |
            100.986   |     9 | 5.65e+08  | A    |     5.33173     -     17.60912    | 2s.2p2         | 4P   | 2p3            | 4S*  |    |
            101.008   |    10 | 1.13e+09  | A    |     5.33446     -     17.60912    | 2s.2p2         | 4P   | 2p3            | 4S*  |    |
            101.037   |    10 | 1.69e+09  | A    |     5.33797     -     17.60912    | 2s.2p2         | 4P   | 2p3            | 4S*  |    |
            103.6337  |    80 | 7.38e+08  | A    |     0.00000     -     11.963698   | 2s2.2p         | 2P*  | 2s.2p2         | 2S   |    |
            103.7018  |   150 | 1.46e+09  | A    |     0.007863    -     11.963698   | 2s2.2p         | 2P*  | 2s.2p2         | 2S   |    |
                      |       |           |      |                                   |                |      |                |      |    |
            132.3951  |     9 | 4.55e+08  | A    |     9.290148    -     18.654858   | 2s.2p2         | 2D   | 2p3            | 2D*  |    |
            133.4532  |   150 | 2.41e+08  | A    |     0.00000     -      9.290460   | 2s2.2p         | 2P*  | 2s.2p2         | 2D   |    |
            133.5708  |   300 | 2.88e+08  | A    |     0.007863    -      9.290148   | 2s2.2p         | 2P*  | 2s.2p2         | 2D   |    |
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
            Air (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                |      |                |      |    |
            250.912   |   250 | 4.71e+07  | A    |    13.715648    -     18.655491   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
            251.206   |   350 | 5.61e+07  | A    |    13.720780    -     18.654858   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
            257.483   |  250w |           |      |                                   |                |      |                |      |    |
            274.128   |  350l |           |      |                                   |                |      |                |      |    |
            274.649   |   250 | 4.36e+07  | B    |    16.331740    -     20.844686   | 2s2.3p         | 2P*  | 2s2.4d         | 2D   |    |
                      |       |           |      |                                   |                |      |                |      |    |
            283.671   |  1000 | 3.30e+07  | B+   |    11.963698    -     16.333122   | 2s.2p2         | 2S   | 2s2.3p         | 2P*  |    |
            283.760   |   800 | 3.29e+07  | B+   |    11.963698    -     16.331740   | 2s.2p2         | 2S   | 2s2.3p         | 2P*  |    |
            299.262   |  800w |           |      |                                   |                |      |                |      |    |
            387.619   |   350 |           |      |                                   |                |      |                |      |    |
            387.641   |   350 |           |      |                                   |                |      |                |      |    |
                      |       |           |      |                                   |                |      |                |      |    |
            387.666   |   350 |           |      |                                   |                |      |                |      |    |
