
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level            |           Upper level            |Type|
          |          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |----------------------------------|----------------------------------|    |
          |           Vac (nm)  |        |           |      |                                 | Conf.                    | Term  | Conf.                    | Term  |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           169.601   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           169.799   |    800 |           |      |                                 |                          |       |                          |       |    |
Co III    |           170.279   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           170.735   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           170.795   |    500 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           172.397   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           174.567   |    400 |           |      |                                 |                          |       |                          |       |    |
Co III    |           175.598   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           176.035   |   5000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           176.996   |    500 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           177.322   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           177.442   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           177.714   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           178.005   |   2000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           178.297   |   3000 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           178.406   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           178.708   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           178.907   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           179.026   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           179.806   |    500 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           180.554   |    500 |           |      |                                 |                          |       |                          |       |    |
Co III    |           181.147   |    400 |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.126   |    400 |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.169   |    400 |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.177   |    400 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.308   |   1000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.536   |    400 |           |      |                                 |                          |       |                          |       |    |
Co III    |           182.595   |    750 |           |      |                                 |                          |       |                          |       |    |
Co III    |           183.009   |   2000 |           |      |                                 |                          |       |                          |       |    |
Co III    |           183.144   |   2000 |           |      |                                 |                          |       |                          |       |    |
          |                     |        |           |      |                                 |                          |       |                          |       |    |
Co III    |           183.192   |    750 |           |      |                                 |                          |       |                          |       |    |
Co III    |           183.220   |    400 |           |      |                                 |                          |       |                          |       |    |
