
---------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |   Lower level    |    Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------|-------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.     | Term | Conf.     | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |           |      |           |       |    |
           215.080   |     2 | 6.1e+06   | C    |    0.000000     -     5.7627621   | 3p6.4s2   | 1S   | 3p6.4s.8p | 1P*   |    |
           220.073   |     5 | 1.53e+07  | C    |    0.000000     -     5.6320264   | 3p6.4s2   | 1S   | 3p6.4s.7p | 1P*   |    |
           227.546   |     6 | 3.01e+07  | C+   |    0.000000     -     5.4470567   | 3p6.4s2   | 1S   | 3p6.4s.np | w 1P* |    |
           239.856   |     8 | 1.67e+07  | C+   |    0.000000     -     5.1675382   | 3p6.4s2   | 1S   | 3p6.4s.6p | 1P*   |    |
           272.165   |     7 | 2.7e+05   | D    |    0.000000     -     4.5541396   | 3p6.4s2   | 1S   | 3p6.4s.5p | 1P*   |    |
                     |       |           |      |                                   |           |      |           |       |    |
           299.496   |     9 | 3.67e+07  | C    |    1.8793401    -     6.0178980   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
           299.731   |     8 | 2.41e+07  | C    |    1.8858074    -     6.0211091   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
           299.964   |     8 | 2.79e+07  | C    |    1.8858074    -     6.0178980   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
           300.086   |     9 | 1.58e+08  | C    |    1.8858074    -     6.0162205   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
           300.686   |    10 | 7.5e+07   | C    |    1.8989348    -     6.0211091   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
                     |       |           |      |                                   |           |      |           |       |    |
           300.921   |     9 | 4.30e+07  | C    |    1.8989348    -     6.0178980   | 3p6.4s.4p | 3P*  | 3p6.3d2   | 3P    |    |
           302.494   |     2 |           |      |                                   |           |      |           |       |    |
           303.454   |     2 |           |      |                                   |           |      |           |       |    |
           304.574   |     2 |           |      |                                   |           |      |           |       |    |
           305.532   |     3 |           |      |                                   |           |      |           |       |    |
                     |       |           |      |                                   |           |      |           |       |    |
           307.157   |     2 |           |      |                                   |           |      |           |       |    |
           307.695   |     2 |           |      |                                   |           |      |           |       |    |
           308.079   |     2 |           |      |                                   |           |      |           |       |    |
           309.930   |     2 |           |      |                                   |           |      |           |       |    |
           313.602   |     5 | 4.1e+06   | D    |    1.8793401    -     5.8317484   | 3p6.4s.4p | 3P*  | 3p6.4s.8d | 3D    |    |
                     |       |           |      |                                   |           |      |           |       |    |
           314.079   |     6 | 4.9e+06   | D    |    1.8858074    -     5.8322173   | 3p6.4s.4p | 3P*  | 3p6.4s.8d | 3D    |    |
           315.075   |     7 | 8.6e+06   | D    |    1.8989348    -     5.8328662   | 3p6.4s.4p | 3P*  | 3p6.4s.8d | 3D    |    |
