
------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |    Lower level    |    Upper level     |Type|
          |            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-------------------|--------------------|    |
          |             Vac (nm)  |       |           |      |                                   | Conf.      | Term | Conf.       | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            106.223    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            111.816    |   150 |           |      |                                   |            |      |             |      |    |
Cd IV     |            112.600    |    30 |           |      |                                   |            |      |             |      |    |
Cd IV     |            113.408    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            113.904    |    15 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            115.464    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            115.573    |    10 |           |      |                                   |            |      |             |      |    |
Cd IV     |            116.465    |   100 |           |      |                                   |            |      |             |      |    |
Cd IV     |            116.578    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            116.730    |    40 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            117.973    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            118.307    |    15 |           |      |                                   |            |      |             |      |    |
Cd IV     |            118.340    |   100 |           |      |                                   |            |      |             |      |    |
Cd IV     |            119.413    |    40 |           |      |                                   |            |      |             |      |    |
Cd IV     |            119.563    |    20 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            119.647    |    30 |           |      |                                   |            |      |             |      |    |
Cd IV     |            119.893    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            121.538    |    15 |           |      |                                   |            |      |             |      |    |
Cd IV     |            122.352    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            124.606    |    20 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            124.656    |    15 |           |      |                                   |            |      |             |      |    |
Cd IV     |            124.994    |    15 |           |      |                                   |            |      |             |      |    |
Cd II     |            125.600    |   100 |           |      |                                   |            |      |             |      |    |
Cd IV     |            126.647    |    30 |           |      |                                   |            |      |             |      |    |
Cd IV     |            127.441    |    15 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            128.563    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            128.758    |    20 |           |      |                                   |            |      |             |      |    |
Cd II     |            129.643    |   150 |           |      |                                   |            |      |             |      |    |
Cd IV     |            129.946    |    20 |           |      |                                   |            |      |             |      |    |
Cd IV     |            130.436    |    40 |           |      |                                   |            |      |             |      |    |
          |                       |       |           |      |                                   |            |      |             |      |    |
Cd IV     |            130.607    |    30 |           |      |                                   |            |      |             |      |    |
Cd IV     |            131.689    |    15 |           |      |                                   |            |      |             |      |    |
Cd IV     |            132.185    |    15 |           |      |                                   |            |      |             |      |    |
Cd IV     |            132.555    |    20 |           |      |                                   |            |      |             |      |    |
