
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           125.600  |   100 |           |      |                     |    |
           129.643  |   150 |           |      |                     |    |
           132.650  |   100 |           |      |                     |    |
           137.091  |   150 |           |      |                     |    |
           151.426  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           157.158  |   200 |           |      |                     |    |
           166.860  |   100 |           |      |                     |    |
           170.247  |    50 |           |      |                     |    |
           172.441  |    50 |           |      |                     |    |
           178.584  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           182.770  |   100 |           |      |                     |    |
           192.223  |   300 |           |      |                     |    |
           194.354  |   100 |           |      |                     |    |
           196.554  |    40 |           |      |                     |    |
           198.689  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           199.543  |   200 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.749  |   100 |           |      |                     |    |
           203.245  |    50 |           |      |                     |    |
           203.623  |    75 |           |      |                     |    |
           209.600  |   150 |           |      |                     |    |
           214.441  | 1000r | 2.8e+08   |      |                     |    |
                    |       |           |      |                     |    |
           215.506  |    50 |           |      |                     |    |
           218.779  |   100 |           |      |                     |    |
           219.456  |  1000 |           |      |                     |    |
           226.502  |  1000 | 3.0e+08   |      |                     |    |
           231.277  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           232.107  |   200 |           |      |                     |    |
           237.682  |    40 |           |      |                     |    |
           241.869  |    50 |           |      |                     |    |
           246.973  |    50 |           |      |                     |    |
           248.793  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           249.558  |    40 |           |      |                     |    |
           250.911  |    50 |           |      |                     |    |
           251.622  |    30 |           |      |                     |    |
           255.198  |    50 |           |      |                     |    |
           257.293  |   500 | 1.7e+08   |      |                     |    |
                    |       |           |      |                     |    |
           265.923  |    40 |           |      |                     |    |
           266.820  |    25 |           |      |                     |    |
           267.262  |    50 |           |      |                     |    |
           270.700  |    50 |           |      |                     |    |
           274.854  |  1000 | 2.8e+08   |      |                     |    |
                    |       |           |      |                     |    |
           282.319  |    30 |           |      |                     |    |
           285.646  |    25 |           |      |                     |    |
           291.467  |   200 |           |      |                     |    |
           292.787  |    50 |           |      |                     |    |
           292.927  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           303.060  |    50 |           |      |                     |    |
           308.148  |    25 |           |      |                     |    |
           309.234  |   100 |           |      |                     |    |
           314.679  |    50 |           |      |                     |    |
           325.033  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           334.321  |    50 |           |      |                     |    |
           338.549  |    50 |           |      |                     |    |
           338.888  |    30 |           |      |                     |    |
           341.749  |    50 |           |      |                     |    |
           344.242  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           346.443  |   100 |           |      |                     |    |
           348.308  |    25 |           |      |                     |    |
           349.544  |   150 |           |      |                     |    |
           352.411  |   100 |           |      |                     |    |
           353.569  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           402.912  |   100 |           |      |                     |    |
           413.477  |   200 |           |      |                     |    |
           414.149  |    50 |           |      |                     |    |
           428.508  |   100 |           |      |                     |    |
           441.241  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           441.563  |  1000 | 1.4e+06   |      |                     |    |
           444.045  |    30 |           |      |                     |    |
           474.469  |    30 |           |      |                     |    |
           488.172  |    50 |           |      |                     |    |
           502.550  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           526.801  |   100 |           |      |                     |    |
           527.160  |   100 |           |      |                     |    |
           533.748  |  1000 |           |      |                     |    |
           537.813  |  1000 |           |      |                     |    |
           538.189  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           584.330  |    40 |           |      |                     |    |
           588.022  |    50 |           |      |                     |    |
           635.472  |   400 |           |      |                     |    |
           635.998  |   500 |           |      |                     |    |
           646.494  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           656.765  |    25 |           |      |                     |    |
           672.578  |   500 |           |      |                     |    |
           675.919  |   100 |           |      |                     |    |
           723.701  |    50 |           |      |                     |    |
           728.438  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           806.699  |    50 |           |      |                     |    |
