
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           106.223  |    20 |           |      |                     |    |
           111.816  |   150 |           |      |                     |    |
           112.600  |    30 |           |      |                     |    |
           113.408  |    20 |           |      |                     |    |
           113.904  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           115.464  |    20 |           |      |                     |    |
           115.573  |    10 |           |      |                     |    |
           116.465  |   100 |           |      |                     |    |
           116.578  |    20 |           |      |                     |    |
           116.730  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           117.973  |    20 |           |      |                     |    |
           118.307  |    15 |           |      |                     |    |
           118.340  |   100 |           |      |                     |    |
           119.413  |    40 |           |      |                     |    |
           119.563  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           119.647  |    30 |           |      |                     |    |
           119.893  |    20 |           |      |                     |    |
           121.538  |    15 |           |      |                     |    |
           122.352  |    20 |           |      |                     |    |
           124.606  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           124.656  |    15 |           |      |                     |    |
           124.994  |    15 |           |      |                     |    |
           126.647  |    30 |           |      |                     |    |
           127.441  |    15 |           |      |                     |    |
           128.563  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           128.758  |    20 |           |      |                     |    |
           129.946  |    20 |           |      |                     |    |
           130.436  |    40 |           |      |                     |    |
           130.607  |    30 |           |      |                     |    |
           131.689  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           132.185  |    15 |           |      |                     |    |
           132.555  |    20 |           |      |                     |    |
           134.097  |    30 |           |      |                     |    |
           134.615  |    15 |           |      |                     |    |
           135.478  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           135.811  |    20 |           |      |                     |    |
           136.255  |    30 |           |      |                     |    |
           137.048  |    60 |           |      |                     |    |
           138.098  |    30 |           |      |                     |    |
           139.765  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           140.368  |    30 |           |      |                     |    |
           140.658  |    15 |           |      |                     |    |
           141.889  |    60 |           |      |                     |    |
           142.983  |    15 |           |      |                     |    |
           144.754  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           145.263  |    20 |           |      |                     |    |
           146.597  |    15 |           |      |                     |    |
           146.667  |    15 |           |      |                     |    |
           148.295  |    15 |           |      |                     |    |
           149.179  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           157.020  |    20 |           |      |                     |    |
           159.873  |    20 |           |      |                     |    |
           160.042  |    20 |           |      |                     |    |
           162.287  |    15 |           |      |                     |    |
