
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |   Rel. |    Aki    | Acc. |             Ei           Ek            |       Lower level       |        Upper level        |Type|
          |              Wavelength |   Int. |    s^-1   |      |            (eV)         (eV)           |-------------------------|---------------------------|    |
          |               Vac (nm)  |        |           |      |                                        | Conf.            | Term | Conf.              | Term |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl I      |               100.2346  |     75 |           |      |                                        |                  |      |                    |      |    |
Cl III    |               100.528   |    500 | 2.6e+09   | E    |     0.00000        -     12.333355     | 3s2.3p3          | 4S*  | 3s.3p4.(3P)        | 4P   |    |
Cl III    |               100.878   |    600 | 2.6e+09   | E    |     0.00000        -     12.290727     | 3s2.3p3          | 4S*  | 3s.3p4.(3P)        | 4P   |    |
Cl I      |               101.3664  |    150 |           |      |                                        |                  |      |                    |      |    |
Cl III    |               101.502   |    700 | 2.5e+09   | E    |     0.00000        -     12.214965     | 3s2.3p3          | 4S*  | 3s.3p4.(3P)        | 4P   |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl I      |               102.5553  |     90 |           |      |                                        |                  |      |                    |      |    |
Cl II     |               106.3831  |   6000 | 4.77e+07  | C    |     0.00000        -     11.654499     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
Cl II     |               106.7945  |   3000 | 1.13e+08  | C    |     0.086293       -     11.695905     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
Cl II     |               107.1036  |   9000 | 8.4e+07   | C    |     0.00000        -     11.576102     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
Cl II     |               107.1767  |   6000 | 2.80e+07  | C    |     0.086293       -     11.654499     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl II     |               107.5230  |   5000 | 3.69e+07  | C    |     0.123547       -     11.654499     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
Cl II     |               107.9080  |   5000 | 2.74e+07  | C    |     0.086293       -     11.576102     | 3s2.3p4          | 3P   | 3s.3p5             | 3P*  |    |
Cl I      |               108.4667  |    200 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               108.5171  |    200 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               108.5304  |    250 |           |      |                                        |                  |      |                    |      |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl I      |               108.806   |    400 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.0271  |    350 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.0982  |    250 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.2437  |    250 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.4769  |    400 |           |      |                                        |                  |      |                    |      |    |
          |                         |        |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.5148  |    350 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.5662  |    350 |           |      |                                        |                  |      |                    |      |    |
Cl I      |               109.5797  |    400 |           |      |                                        |                  |      |                    |      |    |
