
--------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek          |      Lower level       |        Upper level        |Type|
            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)         |------------------------|---------------------------|    |
             Vac (nm)  |       |           |      |                                    | Conf.           | Term | Conf.              | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                    |                 |      |                    |      |    |
             100.2346  |    75 |           |      |                                    |                 |      |                    |      |    |
             101.3664  |   150 |           |      |                                    |                 |      |                    |      |    |
             102.5553  |    90 |           |      |                                    |                 |      |                    |      |    |
             108.4667  |   200 |           |      |                                    |                 |      |                    |      |    |
             108.5171  |   200 |           |      |                                    |                 |      |                    |      |    |
                       |       |           |      |                                    |                 |      |                    |      |    |
             108.5304  |   250 |           |      |                                    |                 |      |                    |      |    |
             108.806   |   400 |           |      |                                    |                 |      |                    |      |    |
             109.0271  |   350 |           |      |                                    |                 |      |                    |      |    |
             109.0982  |   250 |           |      |                                    |                 |      |                    |      |    |
             109.2437  |   250 |           |      |                                    |                 |      |                    |      |    |
                       |       |           |      |                                    |                 |      |                    |      |    |
             109.4769  |   400 |           |      |                                    |                 |      |                    |      |    |
             109.5148  |   350 |           |      |                                    |                 |      |                    |      |    |
             109.5662  |   350 |           |      |                                    |                 |      |                    |      |    |
             109.5797  |   400 |           |      |                                    |                 |      |                    |      |    |
             109.6810  |   250 |           |      |                                    |                 |      |                    |      |    |
                       |       |           |      |                                    |                 |      |                    |      |    |
             109.7369  |   300 |           |      |                                    |                 |      |                    |      |    |
             109.8068  |   200 |           |      |                                    |                 |      |                    |      |    |
             109.9523  |   200 |           |      |                                    |                 |      |                    |      |    |
             110.7528  |   500 |           |      |                                    |                 |      |                    |      |    |
             116.7148  |   800 |           |      |                                    |                 |      |                    |      |    |
                       |       |           |      |                                    |                 |      |                    |      |    |
             117.9293  |  3000 |           |      |                                    |                 |      |                    |      |    |
             118.8774  |  1200 | 2.33e+08  | C    |    0.0000000     -    10.4295829   | 3s2.3p5         | 2P*  | 3s2.3p4.(1D).4s    | 2D   |    |
             120.1353  |   900 | 2.39e+08  | C    |    0.10939764    -    10.4297824   | 3s2.3p5         | 2P*  | 3s2.3p4.(1D).4s    | 2D   |    |
             133.5726  |  3000 | 1.74e+08  | C    |    0.0000000     -     9.2821593   | 3s2.3p5         | 2P*  | 3s2.3p4.(3P).4s    | 2P   |    |
             134.7240  | 10000 | 4.19e+08  | C+   |    0.0000000     -     9.2028316   | 3s2.3p5         | 2P*  | 3s2.3p4.(3P).4s    | 2P   |    |
                       |       |           |      |                                    |                 |      |                    |      |    |
             135.1657  |  5000 | 3.23e+08  | C+   |    0.10939764    -     9.2821593   | 3s2.3p5         | 2P*  | 3s2.3p4.(3P).4s    | 2P   |    |
             136.3447  | 12000 | 7.5e+07   | C+   |    0.10939764    -     9.2028316   | 3s2.3p5         | 2P*  | 3s2.3p4.(3P).4s    | 2P   |    |
             137.3116  |  2500 | 2.9e+05   | D    |    0.0000000     -     9.0294015   | 3s2.3p5         | 2P*  | 3s2.3p4.(3P).4s    | 4P   |    |
