
------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
            Vac (nm)  |        |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |                  |      |                  |      |    |
            106.3831  |   6000 | 4.77e+07  | C    |     0.00000     -     11.654499   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
            106.7945  |   3000 | 1.13e+08  | C    |     0.086293    -     11.695905   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
            107.1036  |   9000 | 8.4e+07   | C    |     0.00000     -     11.576102   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
            107.1767  |   6000 | 2.80e+07  | C    |     0.086293    -     11.654499   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
            107.5230  |   5000 | 3.69e+07  | C    |     0.123547    -     11.654499   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
                      |        |           |      |                                   |                  |      |                  |      |    |
            107.9080  |   5000 | 2.74e+07  | C    |     0.086293    -     11.576102   | 3s2.3p4          | 3P   | 3s.3p5           | 3P*  |    |
            113.9214  |    800 |           |      |                                   |                  |      |                  |      |    |
            144.1470  |    500 |           |      |                                   |                  |      |                  |      |    |
            152.8569  |    500 |           |      |                                   |                  |      |                  |      |    |
            154.2942  |    500 |           |      |                                   |                  |      |                  |      |    |
                      |        |           |      |                                   |                  |      |                  |      |    |
            155.8144  |    500 |           |      |                                   |                  |      |                  |      |    |
            156.5050  |    500 |           |      |                                   |                  |      |                  |      |    |
            185.7488  |    500 |           |      |                                   |                  |      |                  |      |    |
            199.7370  |   450w |           |      |                                   |                  |      |                  |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |       Lower level       |       Upper level       |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |-------------------------|-------------------------|    |
            Air (nm)  |        |           |      |                                   | Conf.            | Term | Conf.            | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |                  |      |                  |      |    |
            203.2116  |    450 |           |      |                                   |                  |      |                  |      |    |
            208.8583  |   350w |           |      |                                   |                  |      |                  |      |    |
            209.1458  |   350w |           |      |                                   |                  |      |                  |      |    |
            242.779   |    170 | 2.5e+07   | D    |    15.947218    -     21.052574   | 3s2.3p3.(4S*).4p | 5P   | 3s2.3p3.(4S*).5d | 5D*  |    |
            243.407   |    360 | 7.2e+07   | D    |    15.960587    -     21.052738   | 3s2.3p3.(4S*).4p | 5P   | 3s2.3p3.(4S*).5d | 5D*  |    |
                      |        |           |      |                                   |                  |      |                  |      |    |
            249.853   |    340 | 2.2e+07   | D    |    15.952249    -     20.913031   | 3s2.3p3.(4S*).4p | 5P   | 3s2.3p3.(4S*).6s | 5S*  |    |
