
-----------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
           Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
            Vac (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                     |                 |      |                 |      |    |
            100.528   |   500 | 2.6e+09   | E    |     0.00000      -     12.333355    | 3s2.3p3         | 4S*  | 3s.3p4.(3P)     | 4P   |    |
            100.878   |   600 | 2.6e+09   | E    |     0.00000      -     12.290727    | 3s2.3p3         | 4S*  | 3s.3p4.(3P)     | 4P   |    |
            101.502   |   700 | 2.5e+09   | E    |     0.00000      -     12.214965    | 3s2.3p3         | 4S*  | 3s.3p4.(3P)     | 4P   |    |
            182.250   |   600 | 1.7e+08   | E    |    18.286992     -     25.090262    | 3s2.3p2.(3P).3d | 4F   | 3s2.3p2.(3P).4p | 4D*  |    |
            182.840   |   500 | 1.5e+08   | E    |    18.234302     -     25.015529    | 3s2.3p2.(3P).3d | 4F   | 3s2.3p2.(3P).4p | 4D*  |    |
                      |       |           |      |                                     |                 |      |                 |      |    |
            190.161   |   500 | 1.3e+08   | E    |    18.839601     -     25.359845    | 3s2.3p2.(3P).3d | 4D   | 3s2.3p2.(3P).4p | 4P*  |    |
            198.361   |   500 |           |      |                                     |                 |      |                 |      |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
           Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
            Air (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                     |                 |      |                 |      |    |
            200.684   |   400 |           |      |                                     |                 |      |                 |      |    |
            225.307   |   700 | 6.1e+07   | D    |    25.015529     -     30.51712?    | 3s2.3p2.(3P).4p | 4D*  | 3s2.3p2.(3P).5s | 4P   |    |
            226.895   |   500 | 1.1e+08   | D    |    24.961852     -     30.42478?    | 3s2.3p2.(3P).4p | 4D*  | 3s2.3p2.(3P).5s | 4P   |    |
            227.834   |   500 | 1.8e+08   | D    |    24.929800     -     30.37011?    | 3s2.3p2.(3P).4p | 4D*  | 3s2.3p2.(3P).5s | 4P   |    |
            228.393   |   700 | 2.7e+08   | D    |    25.090262     -     30.51712?    | 3s2.3p2.(3P).4p | 4D*  | 3s2.3p2.(3P).5s | 4P   |    |
                      |       |           |      |                                     |                 |      |                 |      |    |
            232.350   |   600 |           |      |                                     |                 |      |                 |      |    |
            233.645   |   500 |           |      |                                     |                 |      |                 |      |    |
            234.064   |   600 | 4.2e+08   | D    |    25.53416?     -     30.829716    | 3s2.3p2.(3P).4p | 2D*  | 3s2.3p2.(3P).4d | 2D   |    |
            235.967   |   600 | 3.0e+08   | D    |    26.84563?     -     32.09837?    | 3s2.3p2.(1D).4p | 2F*  | 3s2.3p2.(1D).5s | 2D   |    |
