
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |            Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level         |         Upper level         |   Type|
               Wavelength |            Int. |    s^-1   |      |          (eV)         (eV)           |-----------------------------|-----------------------------|       |
                Vac (nm)  |                 |           |      |                                      | Conf.            | Term     | Conf.            | Term     |       |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |                 |           |      |                                      |                  |          |                  |          |       |
              102.0757    |            2500 | 2.8e+07   | D    |     0.000000     -     12.1464459    | 3d8              | a 3F     | 3d7.(4F).5p      | 3F*      |       |
              103.1560    |            540D | 4.e+06    | E    |     0.000000     -     12.0192918    | 3d8              | a 3F     | 3d7.(4F).5p      | 5G*      |       |
              103.2185    |             540 | 1.3e+06   | E    |     0.000000     -     12.0118750    | 3d8              | a 3F     | 3d7.(4F).5p      | 5G*      |       |
              103.4229    |            1600 | 4.6e+07   | D    |     0.1980272    -     12.1861137    | 3d8              | a 3F     | 3d7.(4F).5p      | 3F*      |       |
              103.4334    |             380 | 1.5e+06   | E    |     0.1980272    -     12.1849886    | 3d8              | a 3F     | 3d7.(4F).5p      | 3G*      |       |
                          |                 |           |      |                                      |                  |          |                  |          |       |
              103.5778    |            1700 | 2.1e+07   | D    |     0.1178252    -     12.0880159    | 3d8              | a 3F     | 3d7.(4F).5p      | 3D*      |       |
              104.0452    |             570 | 4.e+06    | E    |     0.1178252    -     12.0342584    | 3d8              | a 3F     | 3d7.(4F).5p      | 3F*      |       |
              104.1917    |             580 | 5.e+06    | E    |     0.000000     -     11.8995787    | 3d8              | a 3F     | 3d7.(4F).5p      | 5F*      |       |
              105.2333    |            1200 |           |      |     0.1178252    -     11.8995787    | 3d8              | a 3F     | 3d7.(4F).5p      | 5F*      |       |
              107.0594    |             690 |           |      |     0.5654657    -     12.1464459    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 3F*      |       |
                          |                 |           |      |                                      |                  |          |                  |          |       |
              107.1477    |             690 | 3.1e+06   | E    |     0.6137294    -     12.1849886    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 3G*      |       |
              107.4488    |             490 |           |      |     0.5654657    -     12.1043826    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
              107.6274    |            3500 | 8.e+06    | D    |     0.4995308    -     12.0192918    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
              107.6975    |             500 |           |      |     0.4995308    -     12.0118750    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
              107.9006    |             500 | 2.3e+06   | E    |     0.6137294    -     12.1043826    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
                          |                 |           |      |                                      |                  |          |                  |          |       |
              107.9348    |            7200 | 1.2e+07   | D    |     0.4154083    -     11.9023257    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
              108.1978    |            3600 | 1.6e+07   | D    |     0.6453003    -     12.1043826    | 3d7.(4F).4s      | a 5F     | 3d7.(4F).5p      | 5G*      |       |
