
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           169.601  |  1000 |           |      |                     |    |
           169.799  |   800 |           |      |                     |    |
           170.279  |   500 |           |      |                     |    |
           170.735  |  1000 |           |      |                     |    |
           170.795  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           172.397  |   500 |           |      |                     |    |
           174.567  |   400 |           |      |                     |    |
           175.598  |   500 |           |      |                     |    |
           176.035  |  5000 |           |      |                     |    |
           176.996  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           177.322  |   500 |           |      |                     |    |
           177.442  |   500 |           |      |                     |    |
           177.714  |  1000 |           |      |                     |    |
           178.005  |  2000 |           |      |                     |    |
           178.297  |  3000 |           |      |                     |    |
                    |       |           |      |                     |    |
           178.406  |   500 |           |      |                     |    |
           178.708  |  1000 |           |      |                     |    |
           178.907  |  1000 |           |      |                     |    |
           179.026  |   500 |           |      |                     |    |
           179.806  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           180.554  |   500 |           |      |                     |    |
           181.147  |   400 |           |      |                     |    |
           182.126  |   400 |           |      |                     |    |
           182.169  |   400 |           |      |                     |    |
           182.177  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           182.308  |  1000 |           |      |                     |    |
           182.536  |   400 |           |      |                     |    |
           182.595  |   750 |           |      |                     |    |
           183.009  |  2000 |           |      |                     |    |
           183.144  |  2000 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.192  |   750 |           |      |                     |    |
           183.220  |   400 |           |      |                     |    |
           183.500  |  5000 |           |      |                     |    |
           183.763  |  1000 |           |      |                     |    |
           184.616  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           185.292  |   500 |           |      |                     |    |
           185.439  |   400 |           |      |                     |    |
           185.476  |   400 |           |      |                     |    |
           186.178  |  1000 |           |      |                     |    |
           186.383  |  2000 |           |      |                     |    |
                    |       |           |      |                     |    |
           186.419  |   400 |           |      |                     |    |
           187.187  |   500 |           |      |                     |    |
           188.170  |  1000 |           |      |                     |    |
           189.537  |   500 |           |      |                     |    |
           191.912  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           192.857  |   500 |           |      |                     |    |
           194.015  |   500 |           |      |                     |    |
           195.394  |   500 |           |      |                     |    |
           195.941  |   500 |           |      |                     |    |
           198.960  |   400 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.109  |   100 |           |      |                     |    |
           201.162  |   200 |           |      |                     |    |
           201.388  |   200 |           |      |                     |    |
           203.181  |   100 |           |      |                     |    |
           205.311  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           205.621  |   100 |           |      |                     |    |
           206.217  |    10 |           |      |                     |    |
           207.974  |    10 |           |      |                     |    |
           208.858  |    15 |           |      |                     |    |
           209.051  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           209.763  |    10 |           |      |                     |    |
           213.415  |    10 |           |      |                     |    |
           245.216  |    10 |           |      |                     |    |
           281.175  |    20 |           |      |                     |    |
           288.831  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           293.327  |    10 |           |      |                     |    |
           297.801  |    10 |           |      |                     |    |
           299.189  |    20 |           |      |                     |    |
           301.092  |    25 |           |      |                     |    |
           311.668  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           315.140  |     2 |           |      |                     |    |
           318.064  |     2 |           |      |                     |    |
           323.211  |    20 |           |      |                     |    |
           324.924  |     2 |           |      |                     |    |
           325.968  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           326.923  |     2 |           |      |                     |    |
           328.768  |    10 |           |      |                     |    |
           330.538  |    15 |           |      |                     |    |
           345.125  |    10 |           |      |                     |    |
           352.624  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           363.421  |     1 |           |      |                     |    |
           363.631  |     1 |           |      |                     |    |
           366.752  |     2 |           |      |                     |    |
           367.723  |     2 |           |      |                     |    |
           368.074  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           376.250  |     1 |           |      |                     |    |
           378.227  |    15 |           |      |                     |    |
