
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.686  |     4 |           |      |                     |    |
           100.751  |    10 |           |      |                     |    |
           100.902  |    15 |           |      |                     |    |
           101.094  |    10 |           |      |                     |    |
           101.380  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           101.743  |     1 |           |      |                     |    |
           101.836  |    10 |           |      |                     |    |
           102.114  |    10 |           |      |                     |    |
           102.808  |     1 |           |      |                     |    |
           122.631  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.819  |     8 |           |      |                     |    |
           123.173  |    15 |           |      |                     |    |
           123.455  |     2 |           |      |                     |    |
           123.695  |    20 |           |      |                     |    |
           123.985  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           124.691  |     8 |           |      |                     |    |
           125.861  |     6 |           |      |                     |    |
           126.328  |     5 |           |      |                     |    |
           127.070  |    20 |           |      |                     |    |
           127.223  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.552  |     2 |           |      |                     |    |
           127.701  |    50 |           |      |                     |    |
           128.163  |    30 |           |      |                     |    |
           128.400  |    15 |           |      |                     |    |
           128.695  |    28 |           |      |                     |    |
                    |       |           |      |                     |    |
           129.555  |    25 |           |      |                     |    |
           129.587  |    40 |           |      |                     |    |
           130.112  |    35 |           |      |                     |    |
           134.567  |    50 |           |      |                     |    |
           135.122  |     6 |           |      |                     |    |
                    |       |           |      |                     |    |
           135.342  |    15 |           |      |                     |    |
           135.520  |    40 |           |      |                     |    |
           135.767  |    30 |           |      |                     |    |
           136.132  |    20 |           |      |                     |    |
           136.246  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           136.417  |    30 |           |      |                     |    |
           136.824  |    30 |           |      |                     |    |
           136.930  |     4 |           |      |                     |    |
           137.101  |    10 |           |      |                     |    |
           137.309  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.520  |    30 |           |      |                     |    |
           137.812  |    25 |           |      |                     |    |
           137.905  |    10 |           |      |                     |    |
           138.021  |    10 |           |      |                     |    |
           138.911  |    32 |           |      |                     |    |
                    |       |           |      |                     |    |
           145.977  |    15 |           |      |                     |    |
           146.898  |    35 |           |      |                     |    |
           147.665  |    30 |           |      |                     |    |
           148.262  |    25 |           |      |                     |    |
           148.291  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.602  |    25 |           |      |                     |    |
           148.873  |    20 |           |      |                     |    |
