
---------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |          Lower level          |          Upper level          |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-------------------------------|-------------------------------|    |
              Vac (nm)  |       |           |      |                                     | Conf.                 | Term  | Conf.                 | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                     |                       |       |                       |       |    |
            166.508     |     a |           |      |    0.0000        -     7.4461       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 5P*   |    |
            166.968     |     a |           |      |    0.0000        -     7.4257       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 5P*   |    |
            167.072     |     a |           |      |    0.0000        -     7.4209       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7D*   |    |
            167.441     |     a |           |      |    0.0000        -     7.4046       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7D*   |    |
            167.505     |     a |           |      |    0.0000        -     7.4019       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7P*   |    |
                        |       |           |      |                                     |                       |       |                       |       |    |
            167.813     |     a |           |      |    0.0000        -     7.3882       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7F*   |    |
            167.959     |     a |           |      |    0.0000        -     7.3818       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7D*   |    |
            168.368     |     a |           |      |    0.0000        -     7.3639       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7P*   |    |
            168.456     |     a |           |      |    0.0000        -     7.3601       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7F*   |    |
            168.798     |     a |           |      |    0.0000        -     7.3451       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7P*   |    |
                        |       |           |      |                                     |                       |       |                       |       |    |
            168.995     |     a |           |      |    0.0000        -     7.3365       | 3d5.(6S).4s           | a 7S  | 3d4.4s.(6D).6p        | 7F*   |    |
            183.5158    |   3a* |           |      |    0.0000        -     6.756050     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).38p          | 7P*   |    |
            183.5158    |   3a* |           |      |    0.0000        -     6.756050     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).38p          | 7P*   |    |
            183.5158    |   3a* |           |      |    0.0000        -     6.756050     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).38p          | 7P*   |    |
            183.5355    |   3a* |           |      |    0.0000        -     6.755325     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).37p          | 7P*   |    |
                        |       |           |      |                                     |                       |       |                       |       |    |
            183.5355    |   3a* |           |      |    0.0000        -     6.755325     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).37p          | 7P*   |    |
            183.5355    |   3a* |           |      |    0.0000        -     6.755325     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).37p          | 7P*   |    |
            183.5515    |   3a* |           |      |    0.0000        -     6.754736     | 3d5.(6S).4s           | a 7S  | 3d5.(6S).36p          | 7P*   |    |
