
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |         Rel. |    Aki    | Acc. |            Ei           Ek            |          Lower level           |          Upper level           |Type|
               Wavelength |         Int. |    s^-1   |      |           (eV)         (eV)           |--------------------------------|--------------------------------|    |
                Vac (nm)  |              |           |      |                                       | Conf.                  | Term  | Conf.                  | Term  |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |              |           |      |                                       |                        |       |                        |       |    |
              114.24089   |            2 |           |      |     3.87070371    -     14.7235755    | 3d4.(a 3F).4s          | a 4F  | 3d3.(4P).4s.4p.(1P*)   | 4D*   |    |
              114.3229    |           2w |           |      |     3.86441068    -     14.7095044    | 3d4.(a 3F).4s          | a 4F  | 3d3.(4P).4s.4p.(1P*)   | 4D*   |    |
              116.75133   |            1 |           |      |     2.43395921    -     13.05348218   | 3d4.(5D).4s            | a 4D  | 3d4.(5D<1>).4f         | 2[2]* |    |
              116.9309    |           4p |           |      |     2.54317566    -     13.14630869   | 3d5                    | a 4G  | 3d4.(5D<4>).4f         | 2[6]* |    |
              116.98158   |            3 |           |      |     2.48266093    -     13.08126481   | 3d4.(5D).4s            | a 4D  | 3d4.(5D<2>).4f         | 2[3]* |    |
                          |              |           |      |                                       |                        |       |                        |       |    |
              116.99821   |            1 |           |      |     3.87070371    -     14.4678183    | 3d4.(a 3F).4s          | a 4F  | 3d3.(2F).4s.4p.(3P*)   | 4D*   |    |
              117.08401   |            4 |           |      |     2.45462162    -     13.0439695    | 3d4.(5D).4s            | a 4D  | 3d3.(4F).4s.4p.(1P*)   | p 4D* |    |
              117.11883   |            2 |           |      |     2.54317566    -     13.12936812   | 3d5                    | a 4G  | 3d4.(5D<4>).4f         | 2[6]* |    |
              117.1321    |           2p |           |      |     3.75653109    -     14.3415962    | 3d4.(3H).4s            | a 4H  | 3d4.(5D<3>).5f         | 2[5]* |    |
              117.27365   |            3 |           |      |     2.54406506    -     13.11628169   | 3d5                    | a 4G  | 3d4.(5D<4>).4f         | 2[4]* |    |
                          |              |           |      |                                       |                        |       |                        |       |    |
              117.31878   |            4 |           |      |     2.43395921    -     13.0021117    | 3d4.(5D).4s            | a 4D  | 3d3.(4F).4s.4p.(1P*)   | p 4D* |    |
              117.32909   |           14 |           |      |     2.54317566    -     13.11040449   | 3d5                    | a 4G  | 3d4.(5D<4>).4f         | 2[7]* |    |
              117.3638    |           4q |           |      |     2.54406506    -     13.10818571   | 3d5                    | a 4G  | 3d4.(5D<3>).4f         | 2[4]* |    |
              117.39483   |            7 |           |      |     2.48266093    -     13.0439695    | 3d4.(5D).4s            | a 4D  | 3d3.(4F).4s.4p.(1P*)   | p 4D* |    |
              117.39912   |            5 |           |      |     2.48266093    -     13.0435657    | 3d4.(5D).4s            | a 4D  | 3d3.(4F).4s.4p.(1P*)   | r 4F* |    |
                          |              |           |      |                                       |                        |       |                        |       |    |
              117.48133   |            3 |           |      |     2.54406506    -     13.09753166   | 3d5                    | a 4G  | 3d4.(5D<3>).4f         | 2[5]* |    |
