
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.086  |    40 |           |      |                     |    |
           100.104  |    40 |           |      |                     |    |
           100.296  |    30 |           |      |                     |    |
           101.714  |    50 |           |      |                     |    |
           101.731  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           101.757  |    50 |           |      |                     |    |
           102.833  |    30 |           |      |                     |    |
           103.047  |    60 |           |      |                     |    |
           103.089  |    30 |           |      |                     |    |
           103.323  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           103.345  |    50 |           |      |                     |    |
           103.369  |   100 |           |      |                     |    |
           103.593  |    50 |           |      |                     |    |
           103.603  |   100 |           |      |                     |    |
           104.017  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           104.053  |    40 |           |      |                     |    |
           104.506  |    40 |           |      |                     |    |
           104.514  |    40 |           |      |                     |    |
           105.913  |    60 |           |      |                     |    |
           106.015  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           106.104  |    60 |           |      |                     |    |
           106.268  |    50 |           |      |                     |    |
           106.432  |    30 |           |      |                     |    |
           106.443  |    30 |           |      |                     |    |
           106.623  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           106.841  |    80 |           |      |                     |    |
           110.061  |    30 |           |      |                     |    |
           110.143  |    30 |           |      |                     |    |
           110.288  |    30 |           |      |                     |    |
           111.719  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           113.275  |    30 |           |      |                     |    |
           113.667  |    50 |           |      |                     |    |
           116.143  |    50 |           |      |                     |    |
           118.765  |    30 |           |      |                     |    |
           120.638  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           120.913  |    80 |           |      |                     |    |
           121.112  |    80 |           |      |                     |    |
           122.107  |    40 |           |      |                     |    |
           122.190  |    40 |           |      |                     |    |
           122.565  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.865  |    30 |           |      |                     |    |
           123.188  |    30 |           |      |                     |    |
           123.296  |    50 |           |      |                     |    |
           123.620  |    40 |           |      |                     |    |
           123.851  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           125.261  |    50 |           |      |                     |    |
           125.902  |    40 |           |      |                     |    |
           126.186  |    40 |           |      |                     |    |
           126.234  |    30 |           |      |                     |    |
           126.361  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           126.421  |    35 |           |      |                     |    |
           128.705  |    40 |           |      |                     |    |
           145.527  |    30 |           |      |                     |    |
           158.460  |    40 |           |      |                     |    |
           160.319  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           167.925  |    30 |           |      |                     |    |
           169.028  |    30 |           |      |                     |    |
           169.289  |    60 |           |      |                     |    |
           169.664  |    60 |           |      |                     |    |
           170.148  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           170.743  |    80 |           |      |                     |    |
           170.778  |    40 |           |      |                     |    |
           176.281  |    45 |           |      |                     |    |
           176.692  |    30 |           |      |                     |    |
           176.917  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           182.726  |    30 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           203.639  |    60 |           |      |                     |    |
           203.963  |    50 |           |      |                     |    |
           204.723  |    80 |           |      |                     |    |
           211.373  |   100 |           |      |                     |    |
           211.383  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           211.426  |    50 |           |      |                     |    |
           211.453  |    50 |           |      |                     |    |
           211.487  |   100 |           |      |                     |    |
           211.753  |   100 |           |      |                     |    |
           212.353  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           213.911  |    80 |           |      |                     |    |
           214.115  |   100 |           |      |                     |    |
           214.415  |    80 |           |      |                     |    |
           214.716  |    50 |           |      |                     |    |
           214.756  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           214.865  |    50 |           |      |                     |    |
           214.948  |    50 |           |      |                     |    |
           215.276  |    50 |           |      |                     |    |
           215.717  |   100 |           |      |                     |    |
           216.386  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           216.625  |    60 |           |      |                     |    |
           217.070  |   100 |           |      |                     |    |
           218.371  |    50 |           |      |                     |    |
           218.501  |   100 |           |      |                     |    |
           219.009  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           219.076  |   100 |           |      |                     |    |
           219.158  |   100 |           |      |                     |    |
           219.789  |   100 |           |      |                     |    |
           219.862  |   100 |           |      |                     |    |
           220.322  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           220.870  |    60 |           |      |                     |    |
           222.672  |   200 |           |      |                     |    |
           223.181  |   100 |           |      |                     |    |
           223.381  |   100 |           |      |                     |    |
           223.591  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           223.759  |   150 |           |      |                     |    |
           224.410  |   150 |           |      |                     |    |
           225.145  |    80 |           |      |                     |    |
           225.792  |    50 |           |      |                     |    |
           227.330  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           227.543  |    80 |           |      |                     |    |
           227.638  |   100 |           |      |                     |    |
           227.747  |    80 |           |      |                     |    |
           228.444  |   150 |           |      |                     |    |
           228.923  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           229.066  |    80 |           |      |                     |    |
           229.555  |    60 |           |      |                     |    |
           230.999  |    50 |           |      |                     |    |
           231.463  |    80 |           |      |                     |    |
           231.907  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           232.488  |   150 |           |      |                     |    |
           234.051  |    60 |           |      |                     |    |
           245.683  |    50 |           |      |                     |    |
           247.288  |   100 |           |      |                     |    |
           247.977  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           248.306  |   100 |           |      |                     |    |
           248.826  |    60 |           |      |                     |    |
           250.641  |    80 |           |      |                     |    |
           253.099  |    80 |           |      |                     |    |
           253.773  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           254.437  |    80 |           |      |                     |    |
           254.517  |    50 |           |      |                     |    |
           256.476  |    80 |           |      |                     |    |
           261.650  |    80 |           |      |                     |    |
           262.608  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           264.073  |   100 |           |      |                     |    |
           264.750  |    50 |           |      |                     |    |
           265.528  |    40 |           |      |                     |    |
           291.657  |    40 |           |      |                     |    |
