
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           105.589  |    80 |           |      |                     |    |
           105.785  |    60 |           |      |                     |    |
           136.739  |    30 |           |      |                     |    |
           137.505  |    40 |           |      |                     |    |
           140.182  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           141.742  |   100 |           |      |                     |    |
           148.505  |    30 |           |      |                     |    |
           159.504  |    80 |           |      |                     |    |
           159.559  |  90bl |           |      |                     |    |
           165.808  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           167.266  |   120 |           |      |                     |    |
           168.607  |    90 |           |      |                     |    |
           169.088  |   100 |           |      |                     |    |
           172.526  |    80 |           |      |                     |    |
           172.707  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           173.204  |   100 |           |      |                     |    |
           173.398  |    40 |           |      |                     |    |
           173.416  |    80 |           |      |                     |    |
           173.919  |    50 |           |      |                     |    |
           174.688  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           174.713  |    80 |           |      |                     |    |
           175.564  |   110 |           |      |                     |    |
           175.851  |   120 |           |      |                     |    |
           176.964  |   100 |           |      |                     |    |
           177.782  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           179.109  |    40 |           |      |                     |    |
           180.272  |   140 |           |      |                     |    |
           181.241  |   130 |           |      |                     |    |
           181.923  |    60 |           |      |                     |    |
           182.621  |    30 |           |      |                     |    |
                    |       |           |      |                     |    |
           182.686  |    30 |           |      |                     |    |
           184.014  |   100 |           |      |                     |    |
           185.189  |    50 |           |      |                     |    |
           186.311  |   100 |           |      |                     |    |
           187.389  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           188.316  |    35 |           |      |                     |    |
           193.763  |    40 |           |      |                     |    |
           194.659  |    30 |           |      |                     |    |
           196.718  |   140 |           |      |                     |    |
           197.207  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           199.025  |    40 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           204.291  |  50bl |           |      |                     |    |
           205.573  |    40 |           |      |                     |    |
           229.921  |    70 |           |      |                     |    |
           229.959  |    90 |           |      |                     |    |
           231.685  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           232.406  |    40 |           |      |                     |    |
           236.040  |    50 |           |      |                     |    |
           240.515  |    70 |           |      |                     |    |
           242.332  |    60 |           |      |                     |    |
