
------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |        Upper level        |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------|---------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.  | Term | Conf.              | Term |    |
------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |        |      |                    |      |    |
           108.6681  |     2 |           |      |    49.95182    -     61.36117   | 3p6.4d | 2D   | 3p5.(2P*).3d2.(3P) | 2P*  |    |
           110.3926  |     2 |           |      |    49.92369    -     61.15484   | 3p6.4d | 2D   | 3p5.(2P*).3d2.(3P) | 2P*  |    |
           110.7225  |     7 |           |      |    59.75493    -     70.95272   | 3p6.4f | 2F*  | 3p6.5g             | 2G   |    |
           111.4114  |     8 |           |      |    59.82449    -     70.95298   | 3p6.4f | 2F*  | 3p6.5g             | 2G   |    |
           116.4146  |     2 |           |      |    49.92369    -     60.57395   | 3p6.4d | 2D   | 3p6.5p             | 2P*  |    |
                     |       |           |      |                                 |        |      |                    |      |    |
           116.7222  |     6 |           |      |    49.95182    -     60.57395   | 3p6.4d | 2D   | 3p6.5p             | 2P*  |    |
           117.7469  |     5 |           |      |    49.92369    -     60.45339   | 3p6.4d | 2D   | 3p6.5p             | 2P*  |    |
           125.5832  |     8 |           |      |    49.95182    -     59.82449   | 3p6.4d | 2D   | 3p6.4f             | 2F*  |    |
           126.1128  |     7 |           |      |    49.92369    -     59.75493   | 3p6.4d | 2D   | 3p6.4f             | 2F*  |    |
           126.4746  |     4 |           |      |    49.95182    -     59.75493   | 3p6.4d | 2D   | 3p6.4f             | 2F*  |    |
                     |       |           |      |                                 |        |      |                    |      |    |
           128.1439  |     5 |           |      |    70.95298    -     80.62826   | 3p6.5g | 2G   | 3p6.7h             | 2H*  |    |
           128.1439  |     5 |           |      |    70.95272    -     80.62826   | 3p6.5g | 2G   | 3p6.7h             | 2H*  |    |
           128.1439  |     5 |           |      |    70.95298    -     80.62826   | 3p6.5g | 2G   | 3p6.7h             | 2H*  |    |
           134.2741  |     4 |           |      |    60.45339    -     69.68706   | 3p6.5p | 2P*  | 3p6.6s             | 2S   |    |
           136.0504  |     5 |           |      |    60.57395    -     69.68706   | 3p6.5p | 2P*  | 3p6.6s             | 2S   |    |
                     |       |           |      |                                 |        |      |                    |      |    |
           141.7659  |    16 |           |      |    28.25078    -     36.99647   | 3p6.4s | 2S   | 3p6.4p             | 2P*  |    |
           145.5282  |    15 |           |      |    28.25078    -     36.77039   | 3p6.4s | 2S   | 3p6.4p             | 2P*  |    |
           190.7462  |     4 |           |      |    59.75493    -     66.25488   | 3p6.4f | 2F*  | 3p6.5d             | 2D   |    |
           192.4089  |     5 |           |      |    59.82449    -     66.26827   | 3p6.4f | 2F*  | 3p6.5d             | 2D   |    |
           193.2783  |     2 |           |      |    70.54172    -     76.95653   | 3p6.5f | 2F*  | 3p6.6g             | 2G   |    |
                     |       |           |      |                                 |        |      |                    |      |    |
           193.3955  |     3 |           |      |    70.54614    -     76.95705   | 3p6.5f | 2F*  | 3p6.6g             | 2G   |    |
------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |        Upper level        |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------|---------------------------|    |
           Air (nm)  |       |           |      |                                 | Conf.  | Term | Conf.              | Term |    |
------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |        |      |                    |      |    |
           204.4777  |     9 |           |      |    70.95298    -     77.01438   | 3p6.5g | 2G   | 3p6.6h             | 2H*  |    |
           204.4777  |     9 |           |      |    70.95272    -     77.01438   | 3p6.5g | 2G   | 3p6.6h             | 2H*  |    |
           204.4777  |     9 |           |      |    70.95298    -     77.01438   | 3p6.5g | 2G   | 3p6.6h             | 2H*  |    |
           213.6433  |     6 |           |      |    60.45339    -     66.25488   | 3p6.5p | 2P*  | 3p6.5d             | 2D   |    |
           217.6648  |     8 |           |      |    60.57395    -     66.26827   | 3p6.5p | 2P*  | 3p6.5d             | 2D   |    |
                     |       |           |      |                                 |        |      |                    |      |    |
           249.5708  |     5 |           |      |    49.95182    -     54.91823   | 3p6.4d | 2D   | 3p5.(2P*).3d2.(3F) | 2F*  |    |
