
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                          Observed  |       Rel. |    Aki    | Acc. |                   Ei           Ek                  |          Lower level          |          Upper level          |Type|
          |                         Wavelength |       Int. |    s^-1   |      |                  (eV)         (eV)                 |-------------------------------|-------------------------------|    |
          |                          Vac (nm)  |            |           |      |                                                    | Conf.              | Term     | Conf.              | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs I      |                     100.75         |        10a |           |      |     0.0000000            -     12.3065             | 5p6.6s             | 2S       | 5p5.6s2            | 2P*      |    |
Cs V      |                     101.1899       |         78 |           |      |     1.86936              -     14.12201            | 5s2.5p3            | 2D*      | 5s.(2S).5p4.(3P)   | 4P       |    |
Cs IV     |                     101.9129       |         35 |           |      |     5.36596              -     17.53172            | 5s2.5p4            | 1S       | 5s2.5p3.(2D*).5d   | 1P*      |    |
Cs VI     |                     102.0118       |         34 |           |      |     4.34706              -     16.50098            | 5s2.5p2            | 1D       | 5s.5p3             | 3D*      |    |
Cs IX     |                     102.1539       |        136 | 7.71e+08  |      |    30.7432               -     42.8803             | 4d10.4f            | 2F*      | 4d10.5d            | 2D       |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs VI     |                     103.4060       |         54 |           |      |     4.34706              -     16.33700            | 5s2.5p2            | 1D       | 5s.5p3             | 3D*      |    |
Cs VII    |                     105.4015       |        152 |           |      |     2.40273              -     14.16576            | 5s2.5p             | 2P*      | 5s.(2S).5p2.(3P)   | 4P       |    |
Cs III    |                     105.4783       |     13000D | 7.60e+07  |      |     1.71685387           -     13.4712504          | 5s2.5p5            | 2P*      | 5s.5p6             | 2S       |    |
Cs VI     |                     105.5929       |         75 |           |      |     1.50963              -     13.25126            | 5s2.5p2            | 3P       | 5s.5p3             | 5S*      |    |
Cs V      |                     106.4889       |         46 |           |      |     3.96143              -     15.60444            | 5s2.5p3            | 2P*      | 5s.(2S).5p4.(3P)   | 4P       |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs IV     |                     106.8473       |         42 |           |      |     5.36596              -     16.96954            | 5s2.5p4            | 1S       | 5s2.5p3.(4S*).5d   | 5D*      |    |
Cs IV     |                     106.8909       |         68 |           |      |     2.57317              -     14.17235            | 5s2.5p4            | 1D       | 5s.5p5             | 3P*      |    |
Cs V      |                     106.9193       |         69 |           |      |     2.52599              -     14.12201            | 5s2.5p3            | 2D*      | 5s.(2S).5p4.(3P)   | 4P       |    |
Cs VII    |                     107.4560       |        182 |           |      |    22.23537              -     33.77352            | 5s.(2S).5p2.(3P)   | 2P       | 5p3                | 2D*      |    |
Cs I      |                     108.998        |          a | 2.4e+06   |      |     1.79767865           -     13.1727             | 5p6.5d             | 2D       | 5p5.6s.(3P*).5d    | 4P*      |    |
          |                                    |            |           |      |                                                    |                    |          |                    |          |    |
Cs I      |                     109.111        |          a | 4.0e+07   |      |     1.809777716          -     13.1727             | 5p6.5d             | 2D       | 5p5.6s.(3P*).5d    | 4P*      |    |
