
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                       Observed  |   Rel. |    Aki    | Acc. |               Ei           Ek                |  Lower level  |      Upper level       |Type|
                      Wavelength |   Int. |    s^-1   |      |              (eV)         (eV)               |---------------|------------------------|    |
                       Vac (nm)  |        |           |      |                                              | Conf.  | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                                 |        |           |      |                                              |        |      |                 |      |    |
                  100.75         |    10a |           |      |    0.0000000         -     12.3065           | 5p6.6s | 2S   | 5p5.6s2         | 2P*  |    |
                  108.998        |      a | 2.4e+06   |      |    1.79767865        -     13.1727           | 5p6.5d | 2D   | 5p5.6s.(3P*).5d | 4P*  |    |
                  109.111        |      a | 4.0e+07   |      |    1.809777716       -     13.1727           | 5p6.5d | 2D   | 5p5.6s.(3P*).5d | 4P*  |    |
                  119.58         |        |           |      |    2.80065674        -     13.1727           | 5p6.6d | 2D   | 5p5.6s.(3P*).5d | 4P*  |    |
                  124.72         |        |           |      |    3.22951970        -     13.1727           | 5p6.7d | 2D   | 5p5.6s.(3P*).5d | 4P*  |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                       Observed  |   Rel. |    Aki    | Acc. |               Ei           Ek                |  Lower level  |      Upper level       |Type|
                      Wavelength |   Int. |    s^-1   |      |              (eV)         (eV)               |---------------|------------------------|    |
                       Air (nm)  |        |           |      |                                              | Conf.  | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                                 |        |           |      |                                              |        |      |                 |      |    |
                  320.7507       |        | 8.5e+02   |      |    0.0000000         -      3.864307411      | 5p6.6s | 2S   | 5p6.25p         | 2P*  |    |
                  320.9967       |        | 9.4e+02   |      |    0.0000000         -      3.861344         | 5p6.6s | 2S   | 5p6.24p         | 2P*  |    |
                  321.2831       |        | 1.19e+03  |      |    0.0000000         -      3.85790336       | 5p6.6s | 2S   | 5p6.23p         | 2P*  |    |
                  321.6171       |        | 1.49e+03  |      |    0.0000000         -      3.853896         | 5p6.6s | 2S   | 5p6.22p         | 2P*  |    |
                  322.0116       |        | 1.7e+03   |      |    0.0000000         -      3.8491716        | 5p6.6s | 2S   | 5p6.21p         | 2P*  |    |
                                 |        |           |      |                                              |        |      |                 |      |    |
                  322.0258       |        | 1.07e+01  |      |    0.0000000         -      3.849004114      | 5p6.6s | 2S   | 5p6.21p         | 2P*  |    |
                  322.4817       |        | 2.0e+03   |      |    0.0000000         -      3.843560         | 5p6.6s | 2S   | 5p6.20p         | 2P*  |    |
                  322.4982       |        | 1.43e+01  |      |    0.0000000         -      3.843360         | 5p6.6s | 2S   | 5p6.20p         | 2P*  |    |
                  323.0477       |        | 2.5e+03   |      |    0.0000000         -      3.8368288        | 5p6.6s | 2S   | 5p6.19p         | 2P*  |    |
                  323.0680       |        | 1.97e+01  |      |    0.0000000         -      3.836587771      | 5p6.6s | 2S   | 5p6.19p         | 2P*  |    |
                                 |        |           |      |                                              |        |      |                 |      |    |
                  323.7382       |        | 2.8e+03   |      |    0.0000000         -      3.82864711       | 5p6.6s | 2S   | 5p6.18p         | 2P*  |    |
