
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |     Rel. |    Aki    | Acc. |            Ei           Ek            |         Lower level          |          Upper level          |Type|
              Wavelength |     Int. |    s^-1   |      |           (eV)         (eV)           |------------------------------|-------------------------------|    |
               Vac (nm)  |          |           |      |                                       | Conf.             | Term     | Conf.              | Term     |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
                         |          |           |      |                                       |                   |          |                    |          |    |
             155.7959    |        2 |           |      |    13.91667299    -     21.87478012   | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[9/2]   |    |
             156.9493    |        1 |           |      |    14.34193759    -     22.2415782    | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[5/2]   |    |
             157.02731   |        3 |           |      |    13.98595023    -     21.8816614    | 5p5.(2P*<3/2>).5d | 2[3/2]*  | 5p5.(2P*<3/2>).7f  | 2[5/2]   |    |
             157.3008    |        1 |           |      |    13.31609577    -     21.19804655   | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
             157.62831   |        3 |           |      |    14.34193759    -     22.20754298   | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).8f  | 2[7/2]   |    |
                         |          |           |      |                                       |                   |          |                    |          |    |
             158.580     |     10bl |           |      |    13.37964988    -     21.19804655   | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
             158.582     |     10bl |           |      |    14.10019709    -     21.91845686   | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[7/2]   |    |
             158.6325    |        2 |           |      |    13.31609577    -     21.13190610   | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[7/2]   |    |
             158.6991    |        2 |           |      |    13.75658687    -     21.5691067    | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[3/2]   |    |
             158.83692   |        4 |           |      |    13.37964988    -     21.18539973   | 5p5.(2P*<3/2>).5d | 2[1/2]*  | 5p5.(2P*<1/2>).7p  | 2[1/2]   |    |
                         |          |           |      |                                       |                   |          |                    |          |    |
             158.89274   |       18 |           |      |    13.31609577    -     21.11910214   | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<1/2>).4f  | 2[5/2]   |    |
             159.09262   |        3 |           |      |    13.75658687    -     21.5497913    | 5p5.(2P*<3/2>).6s | 2[3/2]*  | 5p5.(2P*<3/2>).9p  | 2[5/2]   |    |
             159.20394   |       11 |           |      |    14.10019709    -     21.88795068   | 5p5.(2P*<3/2>).5d | 2[7/2]*  | 5p5.(2P*<3/2>).7f  | 2[9/2]   |    |
             159.33598   |        3 |           |      |    14.66417831    -     22.4454790    | 5p5.(2P*<3/2>).5d | 2[5/2]*  | 5p5.(2P*<3/2>).9f  | 2[7/2]   |    |
