
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |       Rel. |    Aki    | Acc. |            Ei           Ek            |        Lower level         |        Upper level         |Type|
              Wavelength |       Int. |    s^-1   |      |           (eV)         (eV)           |----------------------------|----------------------------|    |
               Vac (nm)  |            |           |      |                                       | Conf.              | Term  | Conf.              | Term  |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
                         |            |           |      |                                       |                    |       |                    |       |    |
             105.4783    |     13000D | 7.60e+07  |      |     1.71685387    -     13.4712504    | 5s2.5p5            | 2P*   | 5s.5p6             | 2S    |    |
             110.0290    |         83 | 8.00e+06  |      |    14.9308090     -     26.1990938    | 5s2.5p4.(3P<2>).5d | 2[2]  | 5s2.5p4.(3P<2>).5f | 2[2]* |    |
             110.6442    |        250 | 8.25e+07  |      |    14.9308090     -     26.1364899    | 5s2.5p4.(3P<2>).5d | 2[2]  | 5s2.5p4.(3P<2>).5f | 2[3]* |    |
             110.8103    |        130 | 3.70e+07  |      |    15.0102282     -     26.1990938    | 5s2.5p4.(3P<2>).5d | 2[2]  | 5s2.5p4.(3P<2>).5f | 2[2]* |    |
             111.0794    |       290p | 9.44e+07  |      |    14.9751377     -     26.1369420    | 5s2.5p4.(3P<2>).5d | 2[3]  | 5s2.5p4.(3P<2>).5f | 2[4]* |    |
                         |            |           |      |                                       |                    |       |                    |       |    |
             111.0830    |       150p | 2.34e+07  |      |    14.9751377     -     26.1364899    | 5s2.5p4.(3P<2>).5d | 2[3]  | 5s2.5p4.(3P<2>).5f | 2[3]* |    |
             112.2949    |         89 | 4.81e+07  |      |    14.9751377     -     26.0161026    | 5s2.5p4.(3P<2>).5d | 2[3]  | 5s2.5p4.(3P<2>).7p | 2[3]* |    |
             112.4056    |        110 | 4.08e+07  |      |    15.1690037     -     26.1990938    | 5s2.5p4.(3P<2>).5d | 2[1]  | 5s2.5p4.(3P<2>).5f | 2[2]* |    |
             113.2076    |         82 | 7.13e+07  |      |    14.9308090     -     25.8827457    | 5s2.5p4.(3P<2>).5d | 2[2]  | 5s2.5p4.(3P<2>).7p | 2[2]* |    |
             116.7970    |        330 | 1.02e+08  |      |    15.6129386     -     26.2283419    | 5s2.5p4.(3P<2>).5d | 2[4]  | 5s2.5p4.(3P<2>).5f | 2[5]* |    |
                         |            |           |      |                                       |                    |       |                    |       |    |
             117.8110    |        150 | 2.35e+07  |      |    15.6129386     -     26.1369420    | 5s2.5p4.(3P<2>).5d | 2[4]  | 5s2.5p4.(3P<2>).5f | 2[4]* |    |
             118.1346    |       220D | 3.43e+08  |      |    13.4712504     -     23.9664198    | 5s.5p6             | 2S    | 5s2.5p4.(1D<2>).4f | 2[1]* |    |
             118.7243    |       370D | 2.78e+08  |      |    13.4712504     -     23.9142704    | 5s.5p6             | 2S    | 5s2.5p4.(1D<2>).4f | 2[1]* |    |
             119.1795    |         97 | 1.21e+08  |      |    15.6129386     -     26.0161026    | 5s2.5p4.(3P<2>).5d | 2[4]  | 5s2.5p4.(3P<2>).7p | 2[3]* |    |
