
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |     Rel. |    Aki    | Acc. |           Ei           Ek            |         Lower level         |            Upper level             |Type|
          |             Wavelength |     Int. |    s^-1   |      |          (eV)         (eV)           |-----------------------------|------------------------------------|    |
          |              Vac (nm)  |          |           |      |                                      | Conf.                | Term | Conf.                   | Term     |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             100.4055   |      300 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             100.8569   |      300 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             100.8728   |      300 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             101.0269   |      300 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             101.2597   |      250 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             101.8707   |      500 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             102.7831   |      500 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             102.8328   |      250 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             103.0263   |      200 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             103.6470   |      600 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             103.9348   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             103.9582   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             104.4519   |      800 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             104.4744   |      800 |           |      |                                      |                      |      |                         |          |    |
Cu III    |             104.888    |       40 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             104.9755   |      500 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             105.4690   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             105.5797   |      400 |           |      |                                      |                      |      |                         |          |    |
Cu IV     |             105.613    |       60 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             105.6955   |      600 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             105.8799   |      400 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             105.9096   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             106.0634   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             106.3005   |      600 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             106.5782   |      200 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu II     |             106.6134   |      200 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             106.9195   |      500 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             107.3745   |      300 |           |      |                                      |                      |      |                         |          |    |
Cu IV     |             107.472    |       30 |           |      |                                      |                      |      |                         |          |    |
Cu II     |             108.8395   |      200 |           |      |                                      |                      |      |                         |          |    |
          |                        |          |           |      |                                      |                      |      |                         |          |    |
Cu IV     |             109.165    |       50 |           |      |                                      |                      |      |                         |          |    |
