
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek           |         Lower level         |            Upper level             |Type|
            Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)          |-----------------------------|------------------------------------|    |
             Vac (nm)  |          |           |      |                                    | Conf.                | Term | Conf.                   | Term     |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |          |           |      |                                    |                      |      |                         |          |    |
            114.661    |        a |           |      |    0.00         -    10.81311      | 3d10.4s              | 2S   | 3d9.4s.(1D).11p?        | 2P*      |    |
            114.725    |        a |           |      |    0.00         -    10.80708      | 3d10.4s              | 2S   | 3d9.4s.(1D).11p?        | 2P*      |    |
            115.143    |        a |           |      |    0.00         -    10.76784      | 3d10.4s              | 2S   | 3d9.4s.(1D).10p?        | 2P*      |    |
            115.233    |        a |           |      |    0.00         -    10.75944      | 3d10.4s              | 2S   | 3d9.4s.(1D).10p?        | 2P*      |    |
            115.852    |        a |           |      |    0.00         -    10.70194      | 3d10.4s              | 2S   | 3d9.4s.(1D).9p?         | 2P*      |    |
                       |          |           |      |                                    |                      |      |                         |          |    |
            115.993    |        a |           |      |    0.00         -    10.68894      | 3d10.4s              | 2S   | 3d9.4s.(1D).9p?         | 2P*      |    |
            116.271    |        a |           |      |    0.00         -    10.66338      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).21p      | *        |    |
            116.317    |        a |           |      |    0.00         -    10.65917      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).20p      | *        |    |
            116.379    |        a |           |      |    0.00         -    10.65349      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).19p      | *        |    |
            116.442    |        a |           |      |    0.00         -    10.64773      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).18p      | *        |    |
                       |          |           |      |                                    |                      |      |                         |          |    |
            116.524    |        a |           |      |    0.00         -    10.64022      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).17p      | *        |    |
            116.618    |        a |           |      |    0.00         -    10.63166      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).14f<5/2> | (1,5/2)* |    |
            116.629    |        a |           |      |    0.00         -    10.63065      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).16p      | *        |    |
            116.739    |        a |           |      |    0.00         -    10.62063      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).13f<5/2> | (1,5/2)* |    |
            116.753    |        a |           |      |    0.00         -    10.61936      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).15p      | *        |    |
                       |          |           |      |                                    |                      |      |                         |          |    |
            116.895    |        a |           |      |    0.00         -    10.60646      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).12f<5/2> | (1,5/2)* |    |
            116.911    |        a |           |      |    0.00         -    10.60501      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).14p      | *        |    |
            116.964    |        a |           |      |    0.00         -    10.60020      | 3d10.4s              | 2S   | 3d9.4s.(1D).8p?         | 2P*      |    |
            117.095    |        a |           |      |    0.00         -    10.58834      | 3d10.4s              | 2S   | 3d9.4s.(3D<1>).11f<5/2> | (1,5/2)* |    |
