
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           104.888  |    40 |           |      |                     |    |
           118.680  |    50 |           |      |                     |    |
           120.096  |    50 |           |      |                     |    |
           121.930  |   300 |           |      |                     |    |
           124.438  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           127.914  |   100 |           |      |                     |    |
           131.239  |   200 |           |      |                     |    |
           133.297  |   300 |           |      |                     |    |
           133.948  |   200 |           |      |                     |    |
           136.308  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           137.679  |  300r |           |      |                     |    |
           137.749  |  200r |           |      |                     |    |
           142.348  |   150 |           |      |                     |    |
           148.123  |  300r |           |      |                     |    |
           154.346  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.375  |  500r |           |      |                     |    |
           164.221  | 1000r |           |      |                     |    |
           167.914  |   300 |           |      |                     |    |
           170.210  |   400 |           |      |                     |    |
           172.237  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           174.137  |   600 |           |      |                     |    |
           176.886  |   200 |           |      |                     |    |
           184.091  |   200 |           |      |                     |    |
           197.195  |   100 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           201.322  |   200 |           |      |                     |    |
           215.728  |   150 |           |      |                     |    |
           229.947  |   100 |           |      |                     |    |
           236.817  |   500 |           |      |                     |    |
           239.174  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           240.550  |   800 |           |      |                     |    |
           241.234  |   700 |           |      |                     |    |
           244.444  |  2000 |           |      |                     |    |
           246.841  |   500 |           |      |                     |    |
           248.236  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           248.646  |   700 |           |      |                     |    |
           250.849  |   500 |           |      |                     |    |
           252.238  |   500 |           |      |                     |    |
           253.866  |   500 |           |      |                     |    |
           256.637  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           257.333  |   400 |           |      |                     |    |
           260.932  |   500 |           |      |                     |    |
           264.392  |   200 |           |      |                     |    |
           269.638  |   200 |           |      |                     |    |
           275.133  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           281.294  |   100 |           |      |                     |    |
           297.887  |   100 |           |      |                     |    |
           354.887  |    75 |           |      |                     |    |
           363.942  |   100 |           |      |                     |    |
           370.292  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           374.470  |   800 |           |      |                     |    |
           374.827  |   400 |           |      |                     |    |
           375.206  |   600 |           |      |                     |    |
           377.697  |  1000 |           |      |                     |    |
           379.080  |   800 |           |      |                     |    |
                    |       |           |      |                     |    |
           380.413  |   600 |           |      |                     |    |
           380.918  |   600 |           |      |                     |    |
           388.168  |   300 |           |      |                     |    |
           395.381  |   150 |           |      |                     |    |
           409.049  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           428.340  |   200 |           |      |                     |    |
           435.197  |   500 |           |      |                     |    |
           435.280  |  1000 |           |      |                     |    |
           435.524  |   500 |           |      |                     |    |
           437.084  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           437.140  |   500 |           |      |                     |    |
           437.343  |   500 |           |      |                     |    |
           437.711  |  1000 |           |      |                     |    |
           438.642  |   200 |           |      |                     |    |
           492.741  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           509.428  |   400 |           |      |                     |    |
           516.897  |   200 |           |      |                     |    |
           520.834  |   400 |           |      |                     |    |
           521.921  |   600 |           |      |                     |    |
           526.859  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           531.778  |   400 |           |      |                     |    |
           536.979  |   300 |           |      |                     |    |
           541.848  |   350 |           |      |                     |    |
           549.494  | 250bl |           |      |                     |    |
           557.394  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           560.900  |   100 |           |      |                     |    |
           570.212  |    75 |           |      |                     |    |
           576.856  |   100 |           |      |                     |    |
           585.072  |   100 |           |      |                     |    |
           596.525  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           610.087  |    30 |           |      |                     |    |
           636.927  |    50 |           |      |                     |    |
           651.254  |    20 |           |      |                     |    |
           664.413  |    20 |           |      |                     |    |
           679.320  |    50 |           |      |                     |    |
