
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           105.613  |    60 |           |      |                     |    |
           107.472  |    30 |           |      |                     |    |
           109.165  |    50 |           |      |                     |    |
           110.550  |    30 |           |      |                     |    |
           111.943  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           115.218  |   40p |           |      |                     |    |
           122.744  |    60 |           |      |                     |    |
           122.887  |    70 |           |      |                     |    |
           125.869  |    70 |           |      |                     |    |
           127.484  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           129.346  |    90 |           |      |                     |    |
           130.941  |    90 |           |      |                     |    |
           132.117  |    70 |           |      |                     |    |
           134.008  | 100bl |           |      |                     |    |
           135.042  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           136.205  |   100 |           |      |                     |    |
           137.214  |   100 |           |      |                     |    |
           137.782  |   100 |           |      |                     |    |
           138.880  |   100 |           |      |                     |    |
           140.549  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           141.527  |    90 |           |      |                     |    |
           143.434  |    90 |           |      |                     |    |
           144.969  |    90 |           |      |                     |    |
           146.618  |    80 |           |      |                     |    |
           148.277  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           149.981  |    80 |           |      |                     |    |
           151.528  |    90 |           |      |                     |    |
           153.512  |    90 |           |      |                     |    |
           155.112  |    80 |           |      |                     |    |
           156.735  |    90 |           |      |                     |    |
                    |       |           |      |                     |    |
           158.347  |    80 |           |      |                     |    |
           159.512  |    70 |           |      |                     |    |
           160.814  |   80p |           |      |                     |    |
           163.975  |    90 |           |      |                     |    |
           165.016  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           170.437  |    70 |           |      |                     |    |
           179.799  |    30 |           |      |                     |    |
           181.756  |    70 |           |      |                     |    |
           181.923  |    70 |           |      |                     |    |
           183.704  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           184.962  |    80 |           |      |                     |    |
           186.724  |    30 |           |      |                     |    |
           191.871  |    30 |           |      |                     |    |
           196.631  |    40 |           |      |                     |    |
