
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           109.710  |    13 |           |      |                     |    |
           110.624  |    42 |           |      |                     |    |
           111.322  |    77 |           |      |                     |    |
           112.120  |    67 |           |      |                     |    |
           112.880  |    76 |           |      |                     |    |
                    |       |           |      |                     |    |
           113.386  |    59 |           |      |                     |    |
           114.238  |    63 |           |      |                     |    |
           114.906  |    54 |           |      |                     |    |
           115.754  |    72 |           |      |                     |    |
           116.735  |    64 |           |      |                     |    |
                    |       |           |      |                     |    |
           117.653  |    77 |           |      |                     |    |
           118.363  |    84 |           |      |                     |    |
           119.254  |    76 |           |      |                     |    |
           120.122  |    83 |           |      |                     |    |
           120.490  |    77 |           |      |                     |    |
                    |       |           |      |                     |    |
           121.436  |    71 |           |      |                     |    |
           122.134  |    70 |           |      |                     |    |
           123.011  |    76 |           |      |                     |    |
           123.973  |    80 |           |      |                     |    |
           124.699  |    79 |           |      |                     |    |
                    |       |           |      |                     |    |
           125.307  |    65 |           |      |                     |    |
           126.024  |    70 |           |      |                     |    |
           126.935  |    77 |           |      |                     |    |
           127.820  |    78 |           |      |                     |    |
           128.613  |    68 |           |      |                     |    |
                    |       |           |      |                     |    |
           129.208  |    67 |           |      |                     |    |
           129.922  |    73 |           |      |                     |    |
           130.972  |    65 |           |      |                     |    |
           131.889  |    55 |           |      |                     |    |
           132.328  |    65 |           |      |                     |    |
                    |       |           |      |                     |    |
           132.922  |    64 |           |      |                     |    |
